"method","estimand","tau","beta_trt","scenario","conf_mult","t_star","site_sizes","init_intercepts","mean_est","truth","rmse","bias","emp_sd","coverage","n_reps"
"Pooled CCW","RD",15,-1,"strong",1.5,25,"1000/1000/1000/1000/1000","-4.5/-3.75/-3/-2.25/-1.5",-0.0886570168294253,-0.0867020445403086,0.0374824844946867,-0.00195497228911666,0.0376200398890774,0.91,100
"Pooled CCW","RD",5,-0.7,"strong",1.5,25,"1000/1000/1000/1000/1000","-4.5/-3.75/-3/-2.25/-1.5",-0.0769233983393775,-0.082664323485726,0.0484917893343758,0.00574092514634857,0.0483933317398412,0.89,100
"Pooled CCW","RD",10,-0.7,"strong",1.5,25,"1000/1000/1000/1000/1000","-4.5/-3.75/-3/-2.25/-1.5",-0.0628158329119669,-0.0659481773262258,0.034211795557135,0.00313234441425895,0.0342397278515343,0.9,100
"Pooled CCW","RD",15,-0.7,"strong",1.5,25,"1000/1000/1000/1000/1000","-4.5/-3.75/-3/-2.25/-1.5",-0.0534881024142633,-0.0580282965113386,0.0304171746599017,0.00454019409707526,0.0302279413161728,0.9,100
"Pooled CCW","RD",5,-0.5,"strong",1.5,25,"1000/1000/1000/1000/1000","-4.5/-3.75/-3/-2.25/-1.5",-0.0575391878651591,-0.0559737956026843,0.0549994412337945,-0.00156539226247478,0.0552541244229941,0.81,100
"Pooled CCW","RD",10,-0.5,"strong",1.5,25,"1000/1000/1000/1000/1000","-4.5/-3.75/-3/-2.25/-1.5",-0.0420840262741123,-0.0467942535063454,0.0344498563070997,0.00471022723223309,0.0342982515530531,0.91,100
"Pooled CCW","RD",15,-0.5,"strong",1.5,25,"1000/1000/1000/1000/1000","-4.5/-3.75/-3/-2.25/-1.5",-0.0355422162996312,-0.0387054284387901,0.0276872198676359,0.00316321213915894,0.0276445006670914,0.93,100
"Federated landmark IPW","RD",5,-1,"medium",1,25,"1000/1000/1000/1000/1000","-4.5/-3.75/-3/-2.25/-1.5",-0.239760809391072,-0.122091469794383,0.134083958732778,-0.117669339596689,0.0646078653961172,NA,100
"Federated landmark IPW","RD",10,-1,"medium",1,25,"1000/1000/1000/1000/1000","-4.5/-3.75/-3/-2.25/-1.5",-0.219825948412349,-0.0968178705311098,0.129986020952966,-0.123008077881239,0.0422280774413405,NA,100
"Federated landmark IPW","RD",15,-1,"medium",1,25,"1000/1000/1000/1000/1000","-4.5/-3.75/-3/-2.25/-1.5",-0.180877850776593,-0.0817086876024627,0.104986343222859,-0.0991691631741302,0.0346353200155055,NA,100
"Federated landmark IPW","RD",5,-0.7,"medium",1,25,"1000/1000/1000/1000/1000","-4.5/-3.75/-3/-2.25/-1.5",-0.167750169709066,-0.081055776303728,0.102512335218326,-0.0866943934053376,0.0549826512950162,NA,100
"Federated landmark IPW","RD",10,-0.7,"medium",1,25,"1000/1000/1000/1000/1000","-4.5/-3.75/-3/-2.25/-1.5",-0.167953194737279,-0.0660312049566955,0.111554084421956,-0.101921989780584,0.0455740240384594,NA,100
