"numerator","site","arm","interval","risk_n","weight_sum","ess","ess_fraction","w_median","w_q95","w_q99","w_max"
"common",1,1,24,38,199.349384910519,18.5835599463176,0.489041051218883,2.99002032133221,16.7996321041517,22.4419219269231,24.3823932984328
"common",1,0,24,560,368.838151115437,557.845210359865,0.996152161356903,0.645669604493293,0.726035284173362,0.848210249187431,1.02202582193009
"common",1,1,25,37,198.551976258447,18.4406699857312,0.498396486100843,3.06156647110787,16.9371758673273,22.494367099126,24.3823932984328
"common",1,0,25,553,364.318182834139,550.849464214797,0.996111146862201,0.645739997952581,0.726437595983378,0.848815925479423,1.02202582193009
"common",2,1,1,1000,1001.40986239887,701.928751486047,0.701928751486047,0.912885804931017,1.22928430316995,3.29281430399338,15.5199892266776
"common",2,0,1,925,878.956339275847,914.872428491911,0.98905127404531,0.913586786678331,1.13163717662513,1.38541368524716,1.79014248008895
"common",2,1,2,882,861.266667494875,546.927664321805,0.620099392655108,0.840507589300362,1.62660307395424,4.33949991109338,15.5199892266776
"common",2,0,2,747,681.323226996043,703.50856566695,0.941778535029384,0.842841461400341,1.21554977488223,1.93358165611623,3.41412115036036
"common",2,1,3,775,771.222546895347,337.352867039212,0.43529402198608,0.781876759334312,1.79856589954069,4.81256540227367,21.0942719834395
"common",2,0,3,624,544.538870461656,535.949796655589,0.858893904896777,0.782459750836715,1.2401979334932,1.97039969444109,6.20390656131279
"common",2,1,4,688,671.837698902266,278.702150958813,0.405090335695949,0.743734287171846,1.93753558037691,4.8076592970871,21.0942719834395
"common",2,0,4,527,438.18697121906,473.93312472724,0.899303841987173,0.743950882585843,1.27827485170607,1.96401127374947,3.29950617148357
