"numerator","site","interval","n_treatment_risk","observed_initiations","pred_min","pred_q01","pred_q50","pred_q99","pred_max","prop_extreme"
"common",3,4,413,74,0.000306636273243643,0.00361919467007284,0.105245616965563,0.79066412529905,0.88965987891756,0.0677966101694915
"common",3,5,339,48,0.000551588972184135,0.00234390116583817,0.0797876923741943,0.746481508055144,0.881851620461169,0.0884955752212389
"common",3,6,291,48,0.000951443073354959,0.00198517223963373,0.0999601655511511,0.754619966609696,0.883563302751618,0.0618556701030928
"common",3,7,243,21,0.000540532393416741,0.00112327172126635,0.0481985842085965,0.47264461622646,0.761198867235606,0.152263374485597
"common",3,8,222,24,0.000564413617129175,0.00121878762329794,0.0623491157466438,0.530118549979587,0.736303645705393,0.117117117117117
"common",3,9,198,19,0.00103421846559334,0.00152745030400987,0.0508919412974737,0.459214346224018,0.66710819893171,0.131313131313131
"common",3,10,179,14,0.000288099968445877,0.000978484198249677,0.0478558938514693,0.375912042473158,0.415253487294839,0.17877094972067
"common",3,11,165,14,0.000176002761847405,0.00107544146133633,0.0526424859964621,0.433281081552775,0.601594071098238,0.109090909090909
"common",3,12,151,16,0.000170739014808453,0.000923049981798068,0.0560283948057465,0.402977043723294,0.618823981200523,0.125827814569536
"common",3,13,135,11,0.000452959292480713,0.00066003261937931,0.0409199365681146,0.381525673715807,0.446426726723478,0.118518518518519
"common",3,14,124,8,0.000793885058847115,0.00119068031710247,0.0324018608623639,0.295713683231763,0.450416219973603,0.161290322580645
"common",3,15,116,12,0.00251888385280891,0.00294790240793712,0.0531761336900769,0.587345265940447,0.603153338333972,0.0689655172413793
"common",3,16,104,8,0.00235907682419927,0.00287431011885535,0.045655684469629,0.367895036586176,0.597640880596968,0.153846153846154
"common",3,17,96,2,0.000512669018452736,0.000600779430834018,0.0110961718579872,0.185859765901693,0.240166844989334,0.458333333333333
"common",3,18,94,9,0.000839332679485453,0.000998295416390206,0.0513578900388778,0.583863071105683,0.690977649747779,0.0957446808510638
"common",3,19,85,3,0.000175354809661163,0.000493612551281837,0.0150068267521146,0.30235363427221,0.379068476995714,0.341176470588235
"common",3,20,82,3,0.000307633719233458,0.000324323148663646,0.0151056768830884,0.367233385347226,0.439593571998104,0.365853658536585
"common",3,21,79,3,0.000197075188500009,0.000294680749149973,0.0143667091309677,0.312622784008794,0.356265103845177,0.367088607594937
"common",3,22,76,2,0.000343228928573982,0.000362175309166901,0.0125453895667483,0.200896494253583,0.207783617510273,0.394736842105263
"common",3,23,74,2,0.000184461955386111,0.000285457287924427,0.010409625276197,0.153961519103453,0.216540212790158,0.486486486486487
"common",3,24,72,3,0.000219857102212853,0.000480258159650783,0.0247772519538308,0.257319746640902,0.264147509915794,0.263888888888889
"common",3,25,69,4,0.000609266477616707,0.00107003176172186,0.0340290847489989,0.301595163706155,0.375169499556973,0.188405797101449
