"method","estimand","tau","beta_trt","scenario","conf_mult","t_star","mean_est","truth","bias","emp_sd","rmse","coverage","n_reps"
"Local CCW + curve meta-analysis","OR",3,-1,"medium",1,25,0.431321044146656,0.426561464975448,0.00475957917120878,0.0818927396742465,0.00475957917120878,NA,100
"Local CCW + curve meta-analysis","OR",6,-1,"medium",1,25,0.500329903349817,0.485914523060327,0.0144153802894896,0.0613011067331274,0.0144153802894896,NA,100
"Local CCW + curve meta-analysis","OR",9,-1,"medium",1,25,0.533362751009925,0.52088262319873,0.0124801278111954,0.064525970386481,0.0124801278111954,NA,100
"Local CCW + curve meta-analysis","OR",3,-0.7,"medium",1,25,0.589749463829354,0.545611441417372,0.0441380224119822,0.112084509147483,0.0441380224119822,NA,100
"Local CCW + curve meta-analysis","OR",6,-0.7,"medium",1,25,0.64084336701438,0.595393038271672,0.0454503287427077,0.118499852521229,0.0454503287427077,NA,100
"Local CCW + curve meta-analysis","OR",9,-0.7,"medium",1,25,0.623486628446095,0.624357363752497,-0.000870735306401846,0.0730356767688531,0.000870735306401846,NA,100
"Local CCW + curve meta-analysis","OR",3,-0.5,"medium",1,25,0.657134831103623,0.645107349285387,0.0120274818182352,0.166618062706733,0.0120274818182352,NA,100
"Local CCW + curve meta-analysis","OR",6,-0.5,"medium",1,25,0.677656494565982,0.685758711461126,-0.00810221689514434,0.121073015387686,0.00810221689514434,NA,100
"Local CCW + curve meta-analysis","OR",9,-0.5,"medium",1,25,0.711198257328592,0.709045947553628,0.00215230977496469,0.0950984243870132,0.00215230977496469,NA,100
"Local CCW + curve meta-analysis","OR",3,-1,"small",0.5,25,0.434325853280706,0.427098922794016,0.00722693048668975,0.0694469572641371,0.00722693048668975,NA,100
"Local CCW + curve meta-analysis","OR",6,-1,"small",0.5,25,0.501595642723195,0.494198818732103,0.00739682399109197,0.0507053238676692,0.00739682399109197,NA,100
"Local CCW + curve meta-analysis","OR",9,-1,"small",0.5,25,0.539338168668358,0.53554712579243,0.00379104287592793,0.0423130249661618,0.00379104287592793,NA,100
"Local CCW + curve meta-analysis","OR",3,-0.7,"small",0.5,25,0.580010059215619,0.544062064736152,0.0359479944794671,0.0861246653030248,0.0359479944794671,NA,100
"Local CCW + curve meta-analysis","OR",6,-0.7,"small",0.5,25,0.598991867024666,0.601271192140172,-0.0022793251155055,0.0568710041102643,0.0022793251155055,NA,100
"Local CCW + curve meta-analysis","OR",9,-0.7,"small",0.5,25,0.622476638528817,0.635736871427349,-0.0132602328985319,0.0484393385351727,0.0132602328985319,NA,100
"Local CCW + curve meta-analysis","OR",3,-0.5,"small",0.5,25,0.668503476132586,0.644258336427251,0.0242451397053341,0.129788067634014,0.0242451397053341,NA,100
"Local CCW + curve meta-analysis","OR",6,-0.5,"small",0.5,25,0.710895423206119,0.690675079681274,0.0202203435248448,0.0871088136511709,0.0202203435248448,NA,100
"Local CCW + curve meta-analysis","OR",9,-0.5,"small",0.5,25,0.716657296474781,0.718671968743803,-0.00201467226902138,0.0663256147767377,0.00201467226902138,NA,100
"Local CCW + curve meta-analysis","OR",3,-1,"strong",1.5,25,0.503540697857925,0.423054773738354,0.0804859241195705,0.115231415553308,0.0804859241195705,NA,100
"Local CCW + curve meta-analysis","OR",6,-1,"strong",1.5,25,0.521414913312639,0.479834771626606,0.0415801416860335,0.121557266029456,0.0415801416860335,NA,100
"Local CCW + curve meta-analysis","OR",9,-1,"strong",1.5,25,0.516885377204138,0.507877056794272,0.00900832040986546,0.0913660107208897,0.00900832040986546,NA,100
"Local CCW + curve meta-analysis","OR",3,-0.7,"strong",1.5,25,0.664601481279718,0.542655710402632,0.121945770877086,0.216383406426025,0.121945770877086,NA,100
"Local CCW + curve meta-analysis","OR",6,-0.7,"strong",1.5,25,0.60220036960388,0.590302032313829,0.0118983372900512,0.135192349005181,0.0118983372900512,NA,100
"Local CCW + curve meta-analysis","OR",9,-0.7,"strong",1.5,25,0.695374835618498,0.613030712967855,0.0823441226506435,0.127091014353228,0.0823441226506435,NA,100
"Local CCW + curve meta-analysis","OR",3,-0.5,"strong",1.5,25,0.811773526586762,0.644678273151436,0.167095253435326,0.213686778465236,0.167095253435326,NA,100
"Local CCW + curve meta-analysis","OR",6,-0.5,"strong",1.5,25,0.766061859523783,0.683912333173466,0.082149526350317,0.20765792739103,0.082149526350317,NA,100
"Local CCW + curve meta-analysis","OR",9,-0.5,"strong",1.5,25,0.784765809418822,0.699703830152394,0.0850619792664283,0.191861479131544,0.0850619792664283,NA,100
"Federated IPW (no cloning)","OR",3,-1,"medium",1,25,0.476080561086907,0.426561464975448,0.0495190961114597,0.0918487831331079,0.0495190961114597,NA,100
"Federated IPW (no cloning)","OR",6,-1,"medium",1,25,0.652645676047066,0.485914523060327,0.166731152986739,0.0911628424070973,0.166731152986739,NA,100
"Federated IPW (no cloning)","OR",9,-1,"medium",1,25,0.80922421914191,0.52088262319873,0.28834159594318,0.110787240758035,0.28834159594318,NA,100
"Federated IPW (no cloning)","OR",3,-0.7,"medium",1,25,0.668960436071016,0.545611441417372,0.123348994653644,0.134210264584023,0.123348994653644,NA,100
"Federated IPW (no cloning)","OR",6,-0.7,"medium",1,25,0.875521303184407,0.595393038271672,0.280128264912735,0.177112286937895,0.280128264912735,NA,100
"Federated IPW (no cloning)","OR",9,-0.7,"medium",1,25,0.992010833862693,0.624357363752497,0.367653470110196,0.157485336988135,0.367653470110196,NA,100
"Federated IPW (no cloning)","OR",3,-0.5,"medium",1,25,0.748002579482466,0.645107349285387,0.102895230197078,0.193028970362378,0.102895230197078,NA,100
"Federated IPW (no cloning)","OR",6,-0.5,"medium",1,25,0.94002496416891,0.685758711461126,0.254266252707783,0.184692962095568,0.254266252707783,NA,100
"Federated IPW (no cloning)","OR",9,-0.5,"medium",1,25,1.13518150750384,0.709045947553628,0.426135559950215,0.184006158301034,0.426135559950215,NA,100
