"method","estimand","tau","beta_trt","scenario","conf_mult","t_star","misspec","mean_est","truth","bias","emp_sd","rmse","coverage","n_reps"
"Federated CCW","RD",2,-0.7,"medium",1,25,"no_tv",-0.0944045973062916,-0.103208945273067,0.00880434796677585,0.0443301693904174,0.0449780926910128,0.9,100
"Federated CCW","RD",2,-0.7,"medium",1,25,"coarse_L",-0.0944045973062916,-0.103208945273067,0.00880434796677585,0.0443301693904174,0.0449780926910128,0.9,100
"Federated CCW","RD",2,-0.7,"medium",1,25,"nonlinear_L",-0.0944045973062916,-0.103208945273067,0.00880434796677585,0.0443301693904174,0.0449780926910128,0.9,100
"Federated CCW","RD",2,-0.7,"medium",1,25,"cloglog",-0.0944045973062916,-0.103208945273067,0.00880434796677585,0.0443301693904174,0.0449780926910128,0.9,100
"Federated CCW","RD",2,-0.7,"medium",1,25,"lpm",-0.0944045973062916,-0.103208945273067,0.00880434796677585,0.0443301693904174,0.0449780926910128,0.9,100
"Federated CCW","RD",5,-0.7,"medium",1,25,"correct",-0.0782382010686104,-0.0831784790995589,0.00494027803094846,0.0348442937488171,0.0350198501682744,0.89,100
"Federated CCW","RD",5,-0.7,"medium",1,25,"no_lag",-0.0782382010686104,-0.0831784790995589,0.00494027803094846,0.0348442937488171,0.0350198501682744,0.89,100
"Federated CCW","RD",5,-0.7,"medium",1,25,"no_tv",-0.0782382010686104,-0.0831784790995589,0.00494027803094846,0.0348442937488171,0.0350198501682744,0.89,100
"Federated CCW","RD",5,-0.7,"medium",1,25,"coarse_L",-0.0782382010686104,-0.0831784790995589,0.00494027803094846,0.0348442937488171,0.0350198501682744,0.89,100
"Federated CCW","RD",5,-0.7,"medium",1,25,"nonlinear_L",-0.0782382010686104,-0.0831784790995589,0.00494027803094846,0.0348442937488171,0.0350198501682744,0.89,100
"Federated CCW","RD",5,-0.7,"medium",1,25,"cloglog",-0.0782382010686104,-0.0831784790995589,0.00494027803094846,0.0348442937488171,0.0350198501682744,0.89,100
"Federated CCW","RD",5,-0.7,"medium",1,25,"lpm",-0.0782382010686104,-0.0831784790995589,0.00494027803094846,0.0348442937488171,0.0350198501682744,0.89,100
"Federated CCW","RD",8,-0.7,"medium",1,25,"correct",-0.0755548616304396,-0.0730403093091784,-0.00251455232126121,0.0205617577824494,0.0206126416950724,0.99,100
"Federated CCW","RD",8,-0.7,"medium",1,25,"no_lag",-0.0755548616304396,-0.0730403093091784,-0.00251455232126121,0.0205617577824494,0.0206126416950724,0.99,100
"Federated CCW","RD",8,-0.7,"medium",1,25,"no_tv",-0.0755548616304396,-0.0730403093091784,-0.00251455232126121,0.0205617577824494,0.0206126416950724,0.99,100
"Federated CCW","RD",8,-0.7,"medium",1,25,"coarse_L",-0.0755548616304396,-0.0730403093091784,-0.00251455232126121,0.0205617577824494,0.0206126416950724,0.99,100
"Federated CCW","RD",8,-0.7,"medium",1,25,"nonlinear_L",-0.0755548616304396,-0.0730403093091784,-0.00251455232126121,0.0205617577824494,0.0206126416950724,0.99,100
"Federated CCW","RD",8,-0.7,"medium",1,25,"cloglog",-0.0755548616304396,-0.0730403093091784,-0.00251455232126121,0.0205617577824494,0.0206126416950724,0.99,100
"Federated CCW","RD",8,-0.7,"medium",1,25,"lpm",-0.0755548616304396,-0.0730403093091784,-0.00251455232126121,0.0205617577824494,0.0206126416950724,0.99,100
"Federated CCW","RD",2,-0.5,"medium",1,25,"correct",-0.0770785476474594,-0.0704769067816117,-0.00660164086584778,0.0556627375465766,0.0557757887419704,0.93,100
"Federated CCW","RD",2,-0.5,"medium",1,25,"no_lag",-0.0770785476474594,-0.0704769067816117,-0.00660164086584778,0.0556627375465766,0.0557757887419704,0.93,100
"Federated CCW","RD",2,-0.5,"medium",1,25,"no_tv",-0.0770785476474594,-0.0704769067816117,-0.00660164086584778,0.0556627375465766,0.0557757887419704,0.93,100
"Federated CCW","RD",2,-0.5,"medium",1,25,"coarse_L",-0.0770785476474594,-0.0704769067816117,-0.00660164086584778,0.0556627375465766,0.0557757887419704,0.93,100
"Federated CCW","RD",2,-0.5,"medium",1,25,"nonlinear_L",-0.0770785476474594,-0.0704769067816117,-0.00660164086584778,0.0556627375465766,0.0557757887419704,0.93,100
"Federated CCW","RD",2,-0.5,"medium",1,25,"cloglog",-0.0770785476474594,-0.0704769067816117,-0.00660164086584778,0.0556627375465766,0.0557757887419704,0.93,100
"Federated CCW","RD",2,-0.5,"medium",1,25,"lpm",-0.0770785476474594,-0.0704769067816117,-0.00660164086584778,0.0556627375465766,0.0557757887419704,0.93,100
"Federated CCW","RD",5,-0.5,"medium",1,25,"correct",-0.0675423822184411,-0.057593918015868,-0.00994846420257307,0.032857240929111,0.034172711900708,0.9,100
"Federated CCW","RD",5,-0.5,"medium",1,25,"no_lag",-0.0675423822184411,-0.057593918015868,-0.00994846420257307,0.032857240929111,0.034172711900708,0.9,100
