"task_id","rep","tau","sample_size_scenario","initiation_scenario","n_per_site","total_n","init_intercept","zero_cov_init_prob","observed_init_rate","min_site_init_rate","max_site_init_rate","landmark_n","landmark_treated_rate"
1,67,4,"low","low",300,3000,-5,0.00669285092428486,0.0466666666666667,0.03,0.0633333333333333,1849,0.0459707950243375
1,68,4,"low","low",300,3000,-5,0.00669285092428486,0.046,0.03,0.0633333333333333,1833,0.0469176213857065
1,69,4,"low","low",300,3000,-5,0.00669285092428486,0.045,0.03,0.0533333333333333,1846,0.0460455037919827
1,70,4,"low","low",300,3000,-5,0.00669285092428486,0.0453333333333333,0.0333333333333333,0.0533333333333333,1840,0.0440217391304348
1,71,4,"low","low",300,3000,-5,0.00669285092428486,0.0433333333333333,0.0333333333333333,0.0533333333333333,1840,0.0429347826086957
1,72,4,"low","low",300,3000,-5,0.00669285092428486,0.0423333333333333,0.0333333333333333,0.0533333333333333,1801,0.0421987784564131
1,73,4,"low","low",300,3000,-5,0.00669285092428486,0.041,0.0333333333333333,0.0533333333333333,1803,0.0404880754298392
1,74,4,"low","low",300,3000,-5,0.00669285092428486,0.041,0.0333333333333333,0.0533333333333333,1799,0.0405780989438577
1,75,4,"low","low",300,3000,-5,0.00669285092428486,0.04,0.0333333333333333,0.0533333333333333,1760,0.0414772727272727
1,76,4,"low","low",300,3000,-5,0.00669285092428486,0.0376666666666667,0.03,0.0533333333333333,1781,0.0381807973048849
1,77,4,"low","low",300,3000,-5,0.00669285092428486,0.038,0.03,0.0533333333333333,1779,0.0387858347386172
1,78,4,"low","low",300,3000,-5,0.00669285092428486,0.039,0.03,0.0533333333333333,1790,0.0391061452513966
1,79,4,"low","low",300,3000,-5,0.00669285092428486,0.038,0.03,0.0533333333333333,1788,0.0369127516778524
1,80,4,"low","low",300,3000,-5,0.00669285092428486,0.0393333333333333,0.03,0.0533333333333333,1805,0.0409972299168975
1,81,4,"low","low",300,3000,-5,0.00669285092428486,0.041,0.03,0.0533333333333333,1777,0.0416432189082724
1,82,4,"low","low",300,3000,-5,0.00669285092428486,0.043,0.03,0.0533333333333333,1813,0.0452289023717595
1,83,4,"low","low",300,3000,-5,0.00669285092428486,0.047,0.03,0.0733333333333333,1823,0.0488206253428415
1,84,4,"low","low",300,3000,-5,0.00669285092428486,0.0476666666666667,0.03,0.0733333333333333,1830,0.0480874316939891
1,85,4,"low","low",300,3000,-5,0.00669285092428486,0.05,0.03,0.0733333333333333,1831,0.048607318405243
1,86,4,"low","low",300,3000,-5,0.00669285092428486,0.05,0.03,0.0733333333333333,1799,0.0494719288493608
1,87,4,"low","low",300,3000,-5,0.00669285092428486,0.0516666666666667,0.03,0.0733333333333333,1796,0.0501113585746102
1,88,4,"low","low",300,3000,-5,0.00669285092428486,0.0513333333333333,0.03,0.0733333333333333,1787,0.050923335198657
1,89,4,"low","low",300,3000,-5,0.00669285092428486,0.052,0.03,0.0733333333333333,1776,0.0501126126126126
1,90,4,"low","low",300,3000,-5,0.00669285092428486,0.0503333333333333,0.03,0.0733333333333333,1760,0.0482954545454545
1,91,4,"low","low",300,3000,-5,0.00669285092428486,0.0516666666666667,0.03,0.0733333333333333,1773,0.050761421319797
1,92,4,"low","low",300,3000,-5,0.00669285092428486,0.0536666666666667,0.03,0.0733333333333333,1743,0.0499139414802065
1,93,4,"low","low",300,3000,-5,0.00669285092428486,0.05,0.03,0.0733333333333333,1731,0.0473714615829001
1,94,4,"low","low",300,3000,-5,0.00669285092428486,0.0483333333333333,0.03,0.0733333333333333,1717,0.0471753057658707
1,95,4,"low","low",300,3000,-5,0.00669285092428486,0.0463333333333333,0.03,0.0733333333333333,1728,0.0445601851851852
1,96,4,"low","low",300,3000,-5,0.00669285092428486,0.0483333333333333,0.03,0.0733333333333333,1742,0.0442020665901263
1,97,4,"low","low",300,3000,-5,0.00669285092428486,0.0463333333333333,0.03,0.0733333333333333,1762,0.0414301929625426
1,98,4,"low","low",300,3000,-5,0.00669285092428486,0.0456666666666667,0.03,0.0733333333333333,1758,0.0386803185437998
1,99,4,"low","low",300,3000,-5,0.00669285092428486,0.0453333333333333,0.03,0.0733333333333333,1759,0.0397953382603752
1,100,4,"low","low",300,3000,-5,0.00669285092428486,0.0496666666666667,0.03,0.0733333333333333,1761,0.0431572969903464
1,101,4,"low","low",300,3000,-5,0.00669285092428486,0.0486666666666667,0.03,0.0733333333333333,1761,0.0431572969903464
1,102,4,"low","low",300,3000,-5,0.00669285092428486,0.047,0.03,0.0733333333333333,1777,0.0416432189082724
1,103,4,"low","low",300,3000,-5,0.00669285092428486,0.0486666666666667,0.03,0.0733333333333333,1775,0.0428169014084507
1,104,4,"low","low",300,3000,-5,0.00669285092428486,0.05,0.04,0.0733333333333333,1796,0.044543429844098
1,105,4,"low","low",300,3000,-5,0.00669285092428486,0.0506666666666667,0.04,0.0733333333333333,1794,0.0462653288740245
1,106,4,"low","low",300,3000,-5,0.00669285092428486,0.051,0.04,0.0733333333333333,1801,0.0477512493059411
1,107,4,"low","low",300,3000,-5,0.00669285092428486,0.0513333333333333,0.0433333333333333,0.0733333333333333,1776,0.0506756756756757
1,108,4,"low","low",300,3000,-5,0.00669285092428486,0.053,0.0433333333333333,0.0733333333333333,1778,0.0534308211473566
1,109,4,"low","low",300,3000,-5,0.00669285092428486,0.0523333333333333,0.04,0.0733333333333333,1779,0.0522765598650927
1,110,4,"low","low",300,3000,-5,0.00669285092428486,0.051,0.04,0.06,1769,0.0497456189937818
1,111,4,"low","low",300,3000,-5,0.00669285092428486,0.0493333333333333,0.0366666666666667,0.06,1763,0.0476460578559274
1,112,4,"low","low",300,3000,-5,0.00669285092428486,0.0486666666666667,0.0366666666666667,0.06,1774,0.0496054114994363
1,113,4,"low","low",300,3000,-5,0.00669285092428486,0.0483333333333333,0.0366666666666667,0.06,1792,0.0485491071428571
1,114,4,"low","low",300,3000,-5,0.00669285092428486,0.0466666666666667,0.0266666666666667,0.06,1794,0.0462653288740245
1,115,4,"low","low",300,3000,-5,0.00669285092428486,0.0466666666666667,0.0266666666666667,0.06,1809,0.0475400773908237
1,116,4,"low","low",300,3000,-5,0.00669285092428486,0.0453333333333333,0.0266666666666667,0.06,1807,0.0481460985058107
1,117,4,"low","low",300,3000,-5,0.00669285092428486,0.0466666666666667,0.0266666666666667,0.06,1828,0.0508752735229759
1,118,4,"low","low",300,3000,-5,0.00669285092428486,0.0436666666666667,0.0266666666666667,0.06,1845,0.0471544715447154
1,119,4,"low","low",300,3000,-5,0.00669285092428486,0.0426666666666667,0.0266666666666667,0.06,1853,0.0458715596330275
1,120,4,"low","low",300,3000,-5,0.00669285092428486,0.042,0.0266666666666667,0.0566666666666667,1858,0.046286329386437
1,121,4,"low","low",300,3000,-5,0.00669285092428486,0.0436666666666667,0.0266666666666667,0.0566666666666667,1879,0.0468334220329963
1,122,4,"low","low",300,3000,-5,0.00669285092428486,0.0443333333333333,0.0266666666666667,0.0566666666666667,1866,0.0455519828510182
1,123,4,"low","low",300,3000,-5,0.00669285092428486,0.0443333333333333,0.0266666666666667,0.0566666666666667,1842,0.0466883821932682
1,124,4,"low","low",300,3000,-5,0.00669285092428486,0.0463333333333333,0.03,0.0566666666666667,1824,0.049890350877193
1,125,4,"low","low",300,3000,-5,0.00669285092428486,0.0476666666666667,0.03,0.06,1807,0.048699501936912
1,126,4,"low","low",300,3000,-5,0.00669285092428486,0.0476666666666667,0.03,0.06,1812,0.0480132450331126
1,127,4,"low","low",300,3000,-5,0.00669285092428486,0.0453333333333333,0.03,0.06,1776,0.0427927927927928
1,128,4,"low","low",300,3000,-5,0.00669285092428486,0.0463333333333333,0.03,0.06,1787,0.0453273642977057
1,129,4,"low","low",300,3000,-5,0.00669285092428486,0.0483333333333333,0.0333333333333333,0.06,1777,0.0472706809229038
1,130,4,"low","low",300,3000,-5,0.00669285092428486,0.0466666666666667,0.0333333333333333,0.06,1771,0.0463015245623941
1,131,4,"low","low",300,3000,-5,0.00669285092428486,0.046,0.0333333333333333,0.06,1763,0.0465116279069767
1,132,4,"low","low",300,3000,-5,0.00669285092428486,0.0446666666666667,0.0333333333333333,0.06,1759,0.046048891415577
1,133,4,"low","low",300,3000,-5,0.00669285092428486,0.045,0.0333333333333333,0.06,1757,0.0466704610130905
1,134,4,"low","low",300,3000,-5,0.00669285092428486,0.0433333333333333,0.03,0.06,1763,0.0436755530346001
1,135,4,"low","low",300,3000,-5,0.00669285092428486,0.0416666666666667,0.03,0.0533333333333333,1762,0.0425652667423383
1,136,4,"low","low",300,3000,-5,0.00669285092428486,0.0423333333333333,0.03,0.0533333333333333,1763,0.0436755530346001
1,137,4,"low","low",300,3000,-5,0.00669285092428486,0.0456666666666667,0.03,0.0666666666666667,1777,0.0467079347214406
1,138,4,"low","low",300,3000,-5,0.00669285092428486,0.0456666666666667,0.03,0.0666666666666667,1761,0.0459965928449744
1,139,4,"low","low",300,3000,-5,0.00669285092428486,0.0443333333333333,0.03,0.0666666666666667,1754,0.0450399087799316
1,140,4,"low","low",300,3000,-5,0.00669285092428486,0.047,0.03,0.0666666666666667,1764,0.0487528344671202
1,141,4,"low","low",300,3000,-5,0.00669285092428486,0.0456666666666667,0.03,0.0666666666666667,1743,0.0470453241537579
1,142,4,"low","low",300,3000,-5,0.00669285092428486,0.0436666666666667,0.0233333333333333,0.0666666666666667,1755,0.0438746438746439
1,143,4,"low","low",300,3000,-5,0.00669285092428486,0.043,0.0233333333333333,0.0666666666666667,1771,0.0423489553924337
1,144,4,"low","low",300,3000,-5,0.00669285092428486,0.0436666666666667,0.0233333333333333,0.0666666666666667,1779,0.044406970207982
1,145,4,"low","low",300,3000,-5,0.00669285092428486,0.0436666666666667,0.0233333333333333,0.0666666666666667,1773,0.0439932318104907
1,146,4,"low","low",300,3000,-5,0.00669285092428486,0.043,0.0233333333333333,0.0666666666666667,1771,0.0423489553924337
