"method","estimand","tau","beta_trt","scenario","conf_mult","sample_size_scenario","initiation_scenario","n_sites","n_per_site","total_n","init_intercept","zero_cov_init_prob","mean_est","median_est","truth","bias","median_bias","emp_sd","rmse","coverage","mean_observed_init_rate","mean_min_site_init_rate","mean_max_site_init_rate","mean_landmark_n","mean_landmark_treated_rate","n_reps"
"fed_landmark_ipw","RMST_diff",4,-0.7,"medium",1,"low","low",10,300,3000,-5,0.00669285092428486,2.93383239556225,2.86398585723319,2.07204976682396,0.861782628738293,0.791936090409225,3.01283881873521,0.861782628738293,NA,0.0434966666666667,0.0274111111111111,0.0612888888888889,1785.32666666667,0.0417249728656034,300
"fed_landmark_ipw","RMST_diff",6,-0.7,"medium",1,"low","low",10,300,3000,-5,0.00669285092428486,2.3124373255693,2.35411087289485,1.5136877589414,0.798749566627909,0.840423113953452,2.12979204778254,0.798749566627909,NA,0.0512155555555556,0.0327444444444444,0.0718333333333333,1449.93,0.0522214347842576,300
"fed_landmark_ipw","RMST_diff",8,-0.7,"medium",1,"low","low",10,300,3000,-5,0.00669285092428486,2.22653492213796,2.17501333961325,1.13643585821513,1.09009906392284,1.03857748139812,2.08549530432694,1.09009906392284,NA,0.0588822222222222,0.0398111111111111,0.0791333333333333,1208.72,0.0596162670504002,300
"fed_perprotocol_naive","RMST_diff",4,-0.7,"medium",1,"large","high",10,1000,10000,-1,0.268941421369995,-1.13948503817508,-1.13645631978849,2.84353121803927,-3.98301625621435,-3.97998753782776,0.210883167833015,3.98301625621435,NA,0.606795333333333,0.583526666666667,0.6316,6736.90333333333,0.619209949593489,300
"fed_perprotocol_naive","RMST_diff",6,-0.7,"medium",1,"large","high",10,1000,10000,-1,0.268941421369995,0.0507837628906558,0.0273198895362263,2.6829365463258,-2.63215278343515,-2.65561665678958,0.238904635647946,2.63215278343515,NA,0.665664333333333,0.64223,0.688003333333333,5736.41666666667,0.691164952838322,300
"fed_perprotocol_naive","RMST_diff",8,-0.7,"medium",1,"large","high",10,1000,10000,-1,0.268941421369995,1.27602054915517,1.27672023684378,2.61164550344623,-1.33562495429106,-1.33492526660245,0.227379454775037,1.33562495429106,NA,0.700922333333333,0.679126666666667,0.72313,4985.12,0.738379274558101,300
"fed_perprotocol_naive","RMST_diff",4,-0.7,"medium",1,"low","high",10,300,3000,-1,0.268941421369995,-1.02968554090241,-1.06259421710303,2.84353121803927,-3.87321675894168,-3.90612543514231,0.444014536165795,3.87321675894168,NA,0.607707777777778,0.561244444444444,0.648611111111111,2010.23,0.621731744630296,300
"fed_perprotocol_naive","RMST_diff",6,-0.7,"medium",1,"low","high",10,300,3000,-1,0.268941421369995,0.00696553299943364,0.0283959601314541,2.6829365463258,-2.67597101332637,-2.65454058619435,0.486646823259617,2.67597101332637,NA,0.670456666666667,0.629466666666667,0.7134,1720.96666666667,0.695496087195759,300
"fed_perprotocol_naive","RMST_diff",8,-0.7,"medium",1,"low","high",10,300,3000,-1,0.268941421369995,1.22140598569899,1.18923548899828,2.61164550344623,-1.39023951774724,-1.42241001444795,0.420885393551599,1.39023951774724,NA,0.701495555555556,0.659388888888889,0.7458,1501.08,0.738323474140332,300
"fed_perprotocol_naive","RMST_diff",4,-0.7,"medium",1,"large","low",10,1000,10000,-5,0.00669285092428486,-1.50387050797331,-1.51001680339329,2.07204976682396,-3.57592027479727,-3.58206657021725,0.444970562928257,3.57592027479727,NA,0.042601,0.0335433333333333,0.0519566666666667,5956.41,0.0411334769112601,300
"fed_perprotocol_naive","RMST_diff",6,-0.7,"medium",1,"large","low",10,1000,10000,-5,0.00669285092428486,-0.773617045813797,-0.72993870542561,1.5136877589414,-2.28730480475519,-2.24362646436701,0.30553806005091,2.28730480475519,NA,0.051551,0.04107,0.0622433333333333,4828.52333333333,0.0510128728262611,300
"fed_perprotocol_naive","RMST_diff",8,-0.7,"medium",1,"large","low",10,1000,10000,-5,0.00669285092428486,-0.0159387427930267,-0.0161543764195669,1.13643585821513,-1.15237460100815,-1.15259023463469,0.380844529193453,1.15237460100815,NA,0.0588906666666667,0.04804,0.0700766666666667,4018.98,0.0607858937437258,300
"fed_perprotocol_naive","RMST_diff",4,-0.7,"medium",1,"low","low",10,300,3000,-5,0.00669285092428486,-1.53709880617206,-1.5306640796804,2.07204976682396,-3.60914857299602,-3.60271384650436,0.734737652708449,3.60914857299602,NA,0.0434966666666667,0.0274111111111111,0.0612888888888889,1785.32666666667,0.0417249728656034,300
"fed_perprotocol_naive","RMST_diff",6,-0.7,"medium",1,"low","low",10,300,3000,-5,0.00669285092428486,-0.565335643418415,-0.544500997804359,1.5136877589414,-2.07902340235981,-2.05818875674576,0.636636454736861,2.07902340235981,NA,0.0512155555555556,0.0327444444444444,0.0718333333333333,1449.93,0.0522214347842576,300
