"method","estimand","tau","beta_trt","scenario","conf_mult","t_star","misspec","mean_est","truth","bias","emp_sd","rmse","coverage","n_reps"
"Federated CCW","RD",5,-0.5,"strong",2,25,"correct",-0.0417673594418793,-0.0592813176469181,0.0175139582050388,0.0586687815250753,0.0609454214719079,0.76,100
"Federated CCW","RD",5,-0.5,"strong",2,25,"no_tv",-0.0431099552433959,-0.0592813176469181,0.0161713624035223,0.0403500531478806,0.0432823114347244,0.8,100
"Federated CCW","RD",5,-0.5,"strong",2,25,"coarse_L",-0.0439556516466528,-0.0592813176469181,0.0153256660002653,0.0504048696780322,0.0524415905244921,0.79,100
"Federated CCW","RD",8,-0.5,"strong",2,25,"correct",-0.04250689121388,-0.0495488313631018,0.0070419401492218,0.0590109565341139,0.0591359364703527,0.8,100
"Federated CCW","RD",8,-0.5,"strong",2,25,"no_tv",-0.0332708104747131,-0.0495488313631018,0.0162780208883887,0.039636842208412,0.042665471188009,0.85,100
"Federated CCW","RD",8,-0.5,"strong",2,25,"coarse_L",-0.0371538315469057,-0.0495488313631018,0.0123949998161962,0.0424998040742047,0.0440659396056164,0.84,100
"CC-Gcomp","RD",2,-1,"small",0.4,25,"correct",-0.159656417882816,-0.158884966736931,-0.00077145114588418,0.0158083542347418,0.0157480208231211,NA,100
"CC-Gcomp","RD",2,-1,"small",0.4,25,"no_tv",-0.14967409560267,-0.158884966736931,0.00921087113426148,0.016822882600489,0.0191054817330501,NA,100
"CC-Gcomp","RD",2,-1,"small",0.4,25,"coarse_L",-0.148341377345091,-0.158884966736931,0.0105435893918403,0.0153167821953527,0.0185317310555544,NA,100
"CC-Gcomp","RD",5,-1,"small",0.4,25,"correct",-0.131821567647692,-0.120971162827715,-0.0108504048199772,0.00937042341280979,0.0143058754133875,NA,100
"CC-Gcomp","RD",5,-1,"small",0.4,25,"no_tv",-0.122490164329613,-0.120971162827715,-0.00151900150189793,0.0113045134883181,0.0113499546482908,NA,100
"CC-Gcomp","RD",5,-1,"small",0.4,25,"coarse_L",-0.12328130592093,-0.120971162827715,-0.00231014309321472,0.00982052659964564,0.0100406711119592,NA,100
"CC-Gcomp","RD",8,-1,"small",0.4,25,"correct",-0.111333043754662,-0.101768486263082,-0.0095645574915793,0.00613965203047794,0.0113489706050604,NA,100
"CC-Gcomp","RD",8,-1,"small",0.4,25,"no_tv",-0.101948717768055,-0.101768486263082,-0.000180231504973082,0.00726176150764978,0.00722760899519537,NA,100
"CC-Gcomp","RD",8,-1,"small",0.4,25,"coarse_L",-0.104550882945722,-0.101768486263082,-0.0027823966826396,0.00627151692828978,0.0068323009766528,NA,100
"CC-Gcomp","RD",2,-0.7,"small",0.4,25,"correct",-0.105892132031259,-0.105367498999536,-0.000524633031722548,0.0142689405260342,0.0142071065638335,NA,100
"CC-Gcomp","RD",2,-0.7,"small",0.4,25,"no_tv",-0.0947224291803746,-0.105367498999536,0.0106450698191618,0.0144877340233684,0.01791962622979,NA,100
"CC-Gcomp","RD",2,-0.7,"small",0.4,25,"coarse_L",-0.097287630019192,-0.105367498999536,0.00807986898034438,0.0138904610799416,0.0160093642179435,NA,100
"CC-Gcomp","RD",5,-0.7,"small",0.4,25,"correct",-0.0921542416631086,-0.0821353199189906,-0.0100189217441181,0.00767176416662961,0.0125954832653956,NA,100
"CC-Gcomp","RD",5,-0.7,"small",0.4,25,"no_tv",-0.0813206623759178,-0.0821353199189906,0.000814657543072782,0.0091239218430657,0.0091146671476732,NA,100
"CC-Gcomp","RD",5,-0.7,"small",0.4,25,"coarse_L",-0.0850803533951918,-0.0821353199189906,-0.00294503347620124,0.00808937988980324,0.00857070058440286,NA,100
