"method","estimand","tau","beta_trt","scenario","conf_mult","t_star","mean_est","truth","bias","emp_sd","rmse","coverage","n_reps"
"G-comp (no cloning)","RD",8,-1,"small",0.4,25,-0.111333043754662,-0.101768486263082,-0.0095645574915793,0.00613965203047794,0.0113489706050604,NA,100
"G-comp (no cloning)","RD",2,-0.7,"small",0.4,25,-0.105892132031259,-0.105367498999536,-0.000524633031722548,0.0142689405260342,0.0142071065638335,NA,100
"G-comp (no cloning)","RD",5,-0.7,"small",0.4,25,-0.0921542416631086,-0.0821353199189906,-0.0100189217441181,0.00767176416662961,0.0125954832653956,NA,100
"G-comp (no cloning)","RD",8,-0.7,"small",0.4,25,-0.0777015787883198,-0.0698427863991118,-0.00785879238920795,0.00592596729766188,0.0098247918728847,NA,100
"G-comp (no cloning)","RD",2,-0.5,"small",0.4,25,-0.0729845820715691,-0.0718312691569835,-0.00115331291458565,0.013922044965362,0.0139001882482337,NA,100
"G-comp (no cloning)","RD",5,-0.5,"small",0.4,25,-0.0611252536864628,-0.0569676227881472,-0.00415763089831564,0.00714804238396839,0.00823829226905718,NA,100
"G-comp (no cloning)","RD",8,-0.5,"small",0.4,25,-0.0555665833394241,-0.0489632870192666,-0.00660329632015757,0.00521496800742555,0.00839806255615507,NA,100
"G-comp (no cloning)","RD",2,-1,"medium",1,25,-0.161898667988221,-0.157561792455253,-0.00433687553296803,0.0143211505389906,0.0148947268730005,NA,100
"G-comp (no cloning)","RD",5,-1,"medium",1,25,-0.135326776855089,-0.123633070025923,-0.0116937068291663,0.00818680531183913,0.0142511867157899,NA,100
"G-comp (no cloning)","RD",8,-1,"medium",1,25,-0.112796581165708,-0.107296828776202,-0.00549975238950572,0.00632562560495461,0.00835827017073453,NA,100
"G-comp (no cloning)","RD",2,-0.7,"medium",1,25,-0.108010002254163,-0.103208945273067,-0.00480105698109515,0.0127691821703382,0.0135820337689911,NA,100
"G-comp (no cloning)","RD",5,-0.7,"medium",1,25,-0.0900768164925481,-0.0831784790995589,-0.00689833739298924,0.00770216628559505,0.0103110227729145,NA,100
"G-comp (no cloning)","RD",8,-0.7,"medium",1,25,-0.0771022128750854,-0.0730403093091784,-0.00406190356590701,0.00581396624990995,0.00706846815783088,NA,100
