"task_id","rep","tau","size_scenario","mix_scenario","total_n","site_sizes","site_weights","target_x1_mean","target_x2_prob","observed_x1_mean","observed_x1_sd","observed_x2_prob","site1_x1_mean","site1_x1_sd","site1_x2_prob","site2_x1_mean","site2_x1_sd","site2_x2_prob","site3_x1_mean","site3_x1_sd","site3_x2_prob","observed_death_rate","min_site_death_rate","max_site_death_rate","observed_init_rate","min_site_init_rate","max_site_init_rate","landmark_n","landmark_event_n","landmark_event_rate","landmark_treated_rate"
1,34,4,"balanced","homogeneous",1500,"500/500/500","0.333333/0.333333/0.333333",0,0.4,0.00118047347201082,1.01187365042313,0.407333333333333,0.0236247259592594,1.01334635263565,0.418,-0.059095165605357,1.01911821238863,0.39,0.0390118600621299,1.0023555173752,0.414,0.848666666666667,0.83,0.864,0.110666666666667,0.094,0.126,901,674,0.748057713651498,0.0987791342952275
1,35,4,"balanced","homogeneous",1500,"500/500/500","0.333333/0.333333/0.333333",0,0.4,-0.0192469041112871,0.993789957317354,0.414666666666667,-0.059095165605357,1.01911821238863,0.39,0.0390118600621299,1.0023555173752,0.414,-0.037657406790634,0.958208608366464,0.44,0.847333333333333,0.83,0.86,0.101333333333333,0.066,0.126,903,674,0.74640088593577,0.0874861572535991
1,36,4,"balanced","homogeneous",1500,"500/500/500","0.333333/0.333333/0.333333",0,0.4,0.000564971178728161,0.971853955745957,0.42,0.0390118600621299,1.0023555173752,0.414,-0.037657406790634,0.958208608366464,0.44,0.000340460264688524,0.954704420839223,0.406,0.852,0.844,0.86,0.0973333333333333,0.066,0.126,897,675,0.752508361204013,0.0891861761426979
1,37,4,"balanced","homogeneous",1500,"500/500/500","0.333333/0.333333/0.333333",0,0.4,-0.00115840601025953,0.979327278084828,0.416666666666667,-0.037657406790634,0.958208608366464,0.44,0.000340460264688524,0.954704420839223,0.406,0.0338417284951669,1.02415864883791,0.404,0.852,0.844,0.86,0.0926666666666667,0.066,0.112,895,673,0.75195530726257,0.0837988826815642
1,38,4,"balanced","homogeneous",1500,"500/500/500","0.333333/0.333333/0.333333",0,0.4,0.0165495376273302,0.97637938819096,0.401333333333333,0.000340460264688524,0.954704420839223,0.406,0.0338417284951669,1.02415864883791,0.404,0.0154664241221351,0.950181831677307,0.394,0.846,0.842,0.852,0.103333333333333,0.098,0.112,896,665,0.7421875,0.1015625
1,39,4,"balanced","homogeneous",1500,"500/500/500","0.333333/0.333333/0.333333",0,0.4,0.0515657810913143,1.00381240098044,0.399333333333333,0.0338417284951669,1.02415864883791,0.404,0.0154664241221351,0.950181831677307,0.394,0.105389190656641,1.03474000638194,0.4,0.847333333333333,0.842,0.852,0.111333333333333,0.098,0.124,912,683,0.74890350877193,0.107456140350877
1,40,4,"balanced","homogeneous",1500,"500/500/500","0.333333/0.333333/0.333333",0,0.4,0.0468066558469976,0.982761043393964,0.401333333333333,0.0154664241221351,0.950181831677307,0.394,0.105389190656641,1.03474000638194,0.4,0.0195643527622168,0.960536220299417,0.41,0.849333333333333,0.842,0.858,0.098,0.072,0.124,898,672,0.748329621380846,0.101336302895323
1,41,4,"balanced","homogeneous",1500,"500/500/500","0.333333/0.333333/0.333333",0,0.4,0.0287678745873263,0.981153505084301,0.398666666666667,0.105389190656641,1.03474000638194,0.4,0.0195643527622168,0.960536220299417,0.41,-0.0386499196568787,0.94234097995304,0.386,0.851333333333333,0.848,0.858,0.0933333333333333,0.072,0.124,896,673,0.751116071428571,0.0959821428571429
1,42,4,"balanced","homogeneous",1500,"500/500/500","0.333333/0.333333/0.333333",0,0.4,0.00267952928896864,0.96003720195027,0.395333333333333,0.0195643527622168,0.960536220299417,0.41,-0.0386499196568787,0.94234097995304,0.386,0.0271241547615679,0.977484555382315,0.39,0.846,0.832,0.858,0.0866666666666667,0.072,0.104,875,644,0.736,0.0914285714285714
1,43,4,"balanced","homogeneous",1500,"500/500/500","0.333333/0.333333/0.333333",0,0.4,-0.00661854439763548,0.984792359636676,0.384,-0.0386499196568787,0.94234097995304,0.386,0.0271241547615679,0.977484555382315,0.39,-0.00832986829759561,1.03328630265275,0.376,0.837333333333333,0.832,0.848,0.092,0.084,0.104,894,650,0.727069351230425,0.0917225950782998
1,44,4,"balanced","homogeneous",1500,"500/500/500","0.333333/0.333333/0.333333",0,0.4,0.0119032629751992,1.00289288917863,0.387333333333333,0.0271241547615679,0.977484555382315,0.39,-0.00832986829759561,1.03328630265275,0.376,0.0169155024616253,0.9987940371184,0.396,0.832666666666667,0.832,0.834,0.102,0.088,0.114,895,644,0.719553072625698,0.0972067039106145
1,45,4,"balanced","homogeneous",1500,"500/500/500","0.333333/0.333333/0.333333",0,0.4,-0.00125728259509045,1.01787654732279,0.374666666666667,-0.00832986829759561,1.03328630265275,0.376,0.0169155024616253,0.9987940371184,0.396,-0.012357481949301,1.02303273935362,0.352,0.83,0.824,0.834,0.0933333333333333,0.078,0.114,920,665,0.722826086956522,0.0858695652173913
1,46,4,"balanced","homogeneous",1500,"500/500/500","0.333333/0.333333/0.333333",0,0.4,-0.0237933849233584,0.99893662185306,0.387333333333333,0.0169155024616253,0.9987940371184,0.396,-0.012357481949301,1.02303273935362,0.352,-0.0759381752823994,0.974125762309878,0.414,0.832666666666667,0.824,0.84,0.106,0.078,0.126,920,669,0.727173913043478,0.0989130434782609
1,47,4,"balanced","homogeneous",1500,"500/500/500","0.333333/0.333333/0.333333",0,0.4,-0.0154020711198108,1.00192001108188,0.396666666666667,-0.012357481949301,1.02303273935362,0.352,-0.0759381752823994,0.974125762309878,0.414,0.0420894438722682,1.0065010734644,0.424,0.84,0.824,0.856,0.0973333333333333,0.078,0.126,919,679,0.738846572361262,0.0968443960826986
1,48,4,"balanced","homogeneous",1500,"500/500/500","0.333333/0.333333/0.333333",0,0.4,-0.0290002789686149,1.00293850570436,0.419333333333333,-0.0759381752823994,0.974125762309878,0.414,0.0420894438722682,1.0065010734644,0.424,-0.0531521054957133,1.02560576996517,0.42,0.844666666666667,0.838,0.856,0.104666666666667,0.088,0.126,912,679,0.744517543859649,0.103070175438596
1,49,4,"balanced","homogeneous",1500,"500/500/500","0.333333/0.333333/0.333333",0,0.4,-0.000665294242163486,1.01123746484904,0.414666666666667,0.0420894438722682,1.0065010734644,0.424,-0.0531521054957133,1.02560576996517,0.42,0.0090667788969548,1.00115119070143,0.4,0.846666666666667,0.838,0.856,0.0986666666666667,0.088,0.108,911,681,0.747530186608123,0.0954994511525796
1,50,4,"balanced","homogeneous",1500,"500/500/500","0.333333/0.333333/0.333333",0,0.4,-0.0382194975969977,1.0152448593837,0.394666666666667,-0.0531521054957133,1.02560576996517,0.42,0.0090667788969548,1.00115119070143,0.4,-0.0705731661922345,1.0191240661327,0.364,0.838,0.83,0.846,0.100666666666667,0.094,0.108,925,682,0.737297297297297,0.094054054054054
