"method","estimand","tau","beta_trt","scenario","conf_mult","t_star","mean_est","truth","bias","emp_sd","rmse","coverage","n_reps"
"Federated CCW","OR",2,-0.7,"medium",1,25,0.599176659412688,0.562734875449812,0.0364417839628767,0.172372496723203,0.175337270620715,0.95,100
"Federated CCW","OR",5,-0.7,"medium",1,25,0.646220500601318,0.621600814394796,0.024619686206522,0.105333149012062,0.107658025743077,0.96,100
"Federated CCW","OR",8,-0.7,"medium",1,25,0.631591639720184,0.66527345142489,-0.0336818117047058,0.101103686281171,0.106085815571905,0.93,100
"Federated CCW","OR",2,-0.5,"medium",1,25,0.719964182012084,0.666763929890905,0.0532002521211786,0.23691639807768,0.24165751117455,0.93,100
"Federated CCW","OR",5,-0.5,"medium",1,25,0.726071350092104,0.714250496540489,0.0118208535516153,0.147469763996837,0.147205946072293,0.98,100
"Federated CCW","OR",8,-0.5,"medium",1,25,0.737017826037467,0.749233666175105,-0.0122158401376381,0.115658845252417,0.115725647764614,0.98,100
"Federated CCW","OR",2,-1,"strong",2,25,0.563338571467495,0.445682873142494,0.117655698325001,0.24092163841772,0.267031209501143,0.87,100
"Federated CCW","OR",5,-1,"strong",2,25,0.527857162618963,0.49302717169416,0.0348299909248033,0.209568764339627,0.211407200882069,0.82,100
"Federated CCW","OR",8,-1,"strong",2,25,0.562612150985299,0.544638023400319,0.0179741275849801,0.161933279474527,0.162121042415236,0.94,100
"Federated CCW","OR",2,-0.7,"strong",2,25,0.810842499656539,0.571076837535732,0.239765662120807,0.476697213900941,0.531465336720787,0.76,100
"Federated CCW","OR",5,-0.7,"strong",2,25,0.651238617186263,0.609288510137556,0.041950107048707,0.340721143133652,0.341598887419028,0.75,100
"Federated CCW","OR",8,-0.7,"strong",2,25,0.709169826954718,0.656531839465181,0.0526379874895365,0.265117172180495,0.268988850256068,0.86,100
"Federated CCW","OR",2,-0.5,"strong",2,25,0.882929600553994,0.689782906657282,0.193146693896713,0.679279514405188,0.702931075900669,0.83,100
"Federated CCW","OR",5,-0.5,"strong",2,25,0.876435647147117,0.712947599381096,0.163488047766021,0.404000482569312,0.433949959994721,0.92,100
"Federated CCW","OR",8,-0.5,"strong",2,25,0.743248468561195,0.753873563873397,-0.0106250953122025,0.302901618955683,0.301570538197463,0.92,100
"Pooled CCW","OR",2,-1,"small",0.4,25,0.451565712017726,0.44064845161737,0.0109172604003561,0.0687219238652059,0.0692435005338912,0.98,100
"Pooled CCW","OR",5,-1,"small",0.4,25,0.519664076387831,0.517599903911689,0.00206417247614239,0.0616397452982005,0.0613654986652437,0.92,100
"Pooled CCW","OR",8,-1,"small",0.4,25,0.578125120809592,0.57558968224295,0.00253543856664268,0.0466233027078004,0.0464588364098217,0.99,100
"Pooled CCW","OR",2,-0.7,"small",0.4,25,0.617056225831874,0.557741997348922,0.0593142284829514,0.107795943064548,0.122564037907908,0.94,100
"Pooled CCW","OR",5,-0.7,"small",0.4,25,0.619845728773827,0.622333710255199,-0.00248798148137168,0.0686738309762507,0.0683748796137642,0.95,100
"Pooled CCW","OR",8,-0.7,"small",0.4,25,0.641567425098528,0.670712942262974,-0.029145517164446,0.0587920800961862,0.065355984928689,0.94,100
"Pooled CCW","OR",2,-0.5,"small",0.4,25,0.641028313089476,0.655040310660453,-0.0140119975709771,0.103780199166586,0.104206345860484,0.97,100
"Pooled CCW","OR",5,-0.5,"small",0.4,25,0.730352367492517,0.708533899301728,0.0218184681907894,0.0921789210162317,0.0942763464455003,0.96,100
"Pooled CCW","OR",8,-0.5,"small",0.4,25,0.742939480324424,0.747285735720708,-0.00434625539628386,0.0688911482318832,0.0686834793646184,0.96,100
"Pooled CCW","OR",2,-1,"medium",1,25,0.475486911982964,0.440902769278821,0.0345841427041426,0.11672767786294,0.121182342765198,0.93,100
"Pooled CCW","OR",5,-1,"medium",1,25,0.499406192320143,0.51163390392311,-0.0122277116029667,0.0769023098014623,0.0774876927732231,0.96,100
"Pooled CCW","OR",8,-1,"medium",1,25,0.517166162741234,0.563907302704039,-0.0467411399628049,0.0576887605589536,0.074023289098111,0.91,100
"Pooled CCW","OR",2,-0.7,"medium",1,25,0.60899015044093,0.562734875449812,0.0462552749911179,0.174231546856121,0.179423008739632,0.95,100
"Pooled CCW","OR",5,-0.7,"medium",1,25,0.64353878678619,0.621600814394796,0.0219379723913942,0.108137545552953,0.109809225947915,0.96,100
