"method","estimand","tau","beta_trt","scenario","conf_mult","sample_size_scenario","outcome_scenario","n_sites","n_per_site","total_n","event_intercept","init_intercept","mean_est","median_est","truth","mean_bias","median_bias","emp_sd","rmse","coverage","mean_observed_death_rate","mean_min_site_death_rate","mean_max_site_death_rate","mean_observed_init_rate","mean_landmark_n","mean_landmark_event_n","mean_landmark_event_rate","mean_landmark_treated_rate","n_reps"
"fed_perprotocol_naive","OR",4,-0.7,"medium",1,"large","rare",10,500,5000,-7,-3,1.78566147744356,1.76952119500011,0.565233417328474,1.22042806011509,1.20428777767164,0.203560160166193,1.2372320987836,NA,0.0674393333333333,0.0510666666666667,0.08458,0.275262,4956.23666666667,293.433333333333,0.059204311502672,0.274832179691644,300
"fed_perprotocol_naive","OR",6,-0.7,"medium",1,"large","rare",10,500,5000,-7,-3,1.87872775097376,1.85207697828808,0.588892190875553,1.28983556009821,1.26318478741253,0.217505580131261,1.30798576211318,NA,0.0626566666666667,0.04512,0.0810733333333333,0.365666,4932.87666666667,246.16,0.049902764821515,0.364770776629118,300
"fed_perprotocol_naive","OR",8,-0.7,"medium",1,"large","rare",10,500,5000,-7,-3,1.88986645969708,1.87753746488878,0.625799445771276,1.2640670139258,1.2517380191175,0.192112473714991,1.2785341584188,NA,0.0606946666666667,0.0436666666666667,0.0790733333333333,0.433404,4905.93333333333,209.406666666667,0.0426846609272303,0.432268742241349,300
"fed_perprotocol_naive","OR",4,-0.7,"medium",1,"low","rare",10,100,1000,-7,-3,1.92834079638684,1.91363848504089,0.565233417328474,1.36310737905836,1.34840506771241,0.501117973993996,1.45201373499829,NA,0.06893,0.0324,0.1067,0.278816666666667,990.566666666667,59.4966666666667,0.0600637569699212,0.277626205150898,300
"fed_perprotocol_naive","OR",6,-0.7,"medium",1,"low","rare",10,100,1000,-7,-3,1.92246092553645,1.81970981931558,0.588892190875553,1.3335687346609,1.23081762844003,0.557462842546391,1.44503789159624,NA,0.06274,0.0297666666666667,0.1051,0.36521,986.276666666667,49.0166666666667,0.0496955991149219,0.364436333420635,300
"fed_perprotocol_naive","OR",8,-0.7,"medium",1,"low","rare",10,100,1000,-7,-3,1.95203631491107,1.940577821711,0.625799445771276,1.3262368691398,1.31477837593972,0.470674920806549,1.40701835970196,NA,0.0640033333333333,0.0289333333333333,0.103533333333333,0.436016666666667,980.373333333333,44.3766666666667,0.0452636006781888,0.434662604135091,300
"local_ccw_meta","OR",4,-0.7,"medium",1,"large","common",10,500,5000,-3,-3,0.641032025721656,0.633135565862974,0.582633042898775,0.0583989828228808,0.0505025229641984,0.0662065988550164,0.0881994551055902,NA,0.743688,0.70956,0.774646666666667,0.235289333333333,3602.80333333333,2321.24333333333,0.644278204237654,0.235365834666581,300
"local_ccw_meta","OR",6,-0.7,"medium",1,"large","common",10,500,5000,-3,-3,0.632806487482649,0.635563712226656,0.61567051638454,0.0171359710981086,0.0198931958421159,0.0653852944826797,0.0674879800479068,NA,0.738585333333333,0.70724,0.76812,0.284996,3120.55333333333,1813.48,0.581137505205074,0.291088024585598,300
"local_ccw_meta","OR",8,-0.7,"medium",1,"large","common",10,500,5000,-3,-3,0.675841492204533,0.661780574469084,0.640764528153496,0.035076964051037,0.0210160463155872,0.0696819672809019,0.0779088230944393,NA,0.736172666666667,0.70202,0.7663,0.316197333333333,2758.8,1439.66333333333,0.521854847817825,0.328205901309744,300
"local_ccw_meta","OR",4,-0.7,"medium",1,"low","common",10,100,1000,-3,-3,0.66283518352571,0.659715400628056,0.582633042898775,0.0802021406269351,0.0770823577292803,0.188161219636014,0.204252325455889,NA,0.747856666666667,0.674466666666667,0.8127,0.234956666666667,718.236666666667,466.093333333333,0.648951717977514,0.234844424464582,300
"local_ccw_meta","OR",6,-0.7,"medium",1,"low","common",10,100,1000,-3,-3,0.703445631780734,0.672330184786758,0.61567051638454,0.0877751153961941,0.0566596684022179,0.191521689442197,0.210387166634563,NA,0.74083,0.6658,0.8138,0.280433333333333,618.436666666667,359.266666666667,0.580998000011258,0.285968866882874,300
"local_ccw_meta","OR",8,-0.7,"medium",1,"low","common",10,100,1000,-3,-3,0.751788511251497,0.718763356727437,0.640764528153496,0.111023983098001,0.0779988285739402,0.182324454133765,0.21320817067568,NA,0.735933333333333,0.665,0.7994,0.31839,554.226666666667,290.16,0.523409018076687,0.333834966688967,300
