"task_id","rep","tau","sample_size_scenario","outcome_scenario","n_per_site","total_n","event_intercept","init_intercept","observed_death_rate","min_site_death_rate","max_site_death_rate","observed_init_rate","min_site_init_rate","max_site_init_rate","landmark_n","landmark_event_n","landmark_event_rate","landmark_treated_rate"
1,144,4,"low","rare",100,1000,-7,-3,0.085,0.02,0.11,0.271,0.21,0.37,989,74,0.0748230535894843,0.267947421638018
1,145,4,"low","rare",100,1000,-7,-3,0.085,0.02,0.11,0.273,0.21,0.37,990,75,0.0757575757575758,0.270707070707071
1,146,4,"low","rare",100,1000,-7,-3,0.085,0.02,0.11,0.273,0.21,0.37,989,74,0.0748230535894843,0.27098078867543
1,147,4,"low","rare",100,1000,-7,-3,0.081,0.02,0.11,0.266,0.21,0.32,990,71,0.0717171717171717,0.264646464646465
1,148,4,"low","rare",100,1000,-7,-3,0.08,0.02,0.11,0.272,0.21,0.32,991,71,0.0716448032290616,0.270433905146317
1,149,4,"low","rare",100,1000,-7,-3,0.077,0.02,0.11,0.275,0.22,0.32,992,69,0.0695564516129032,0.273185483870968
1,150,4,"low","rare",100,1000,-7,-3,0.081,0.06,0.11,0.273,0.22,0.32,992,73,0.0735887096774194,0.27116935483871
1,151,4,"low","rare",100,1000,-7,-3,0.078,0.06,0.11,0.282,0.22,0.37,991,69,0.0696266397578204,0.279515640766902
1,152,4,"low","rare",100,1000,-7,-3,0.075,0.06,0.1,0.273,0.17,0.37,993,68,0.0684793554884189,0.270896273917422
1,153,4,"low","rare",100,1000,-7,-3,0.072,0.04,0.1,0.27,0.17,0.37,995,67,0.0673366834170854,0.267336683417085
1,154,4,"low","rare",100,1000,-7,-3,0.071,0.04,0.1,0.277,0.17,0.37,995,66,0.0663316582914573,0.274371859296482
1,155,4,"low","rare",100,1000,-7,-3,0.068,0.04,0.1,0.278,0.17,0.37,995,63,0.0633165829145729,0.275376884422111
1,156,4,"low","rare",100,1000,-7,-3,0.065,0.04,0.08,0.27,0.17,0.37,995,60,0.0603015075376884,0.266331658291457
1,157,4,"low","rare",100,1000,-7,-3,0.07,0.04,0.11,0.263,0.17,0.37,995,65,0.0653266331658292,0.25929648241206
1,158,4,"low","rare",100,1000,-7,-3,0.071,0.04,0.11,0.264,0.17,0.37,995,66,0.0663316582914573,0.260301507537688
1,159,4,"low","rare",100,1000,-7,-3,0.075,0.04,0.11,0.271,0.17,0.37,992,67,0.0675403225806452,0.267137096774194
1,160,4,"low","rare",100,1000,-7,-3,0.077,0.04,0.11,0.276,0.17,0.37,992,69,0.0695564516129032,0.272177419354839
1,161,4,"low","rare",100,1000,-7,-3,0.075,0.04,0.11,0.27,0.17,0.33,993,68,0.0684793554884189,0.26686807653575
1,162,4,"low","rare",100,1000,-7,-3,0.075,0.04,0.11,0.278,0.19,0.33,992,67,0.0675403225806452,0.274193548387097
1,163,4,"low","rare",100,1000,-7,-3,0.077,0.05,0.11,0.289,0.22,0.33,992,69,0.0695564516129032,0.285282258064516
