"method","estimand","tau","beta_trt","heterogeneity","patient_mix","t_star","site_sizes","init_intercepts","mean_est","truth","rmse","bias","emp_sd","coverage","n_reps"
"Federated landmark IPW","RD",5,-0.7,"high","s1:N(-1.50,0.70^2),Bern(0.10);s2:N(0.00,1.00^2),Bern(0.40);s3:N(1.50,1.30^2),Bern(0.70)",25,"1000/1000/1000","-4.5/-3/-1.5",-0.126065729750439,-0.0584512946296867,0.116400509007753,-0.0676144351207528,0.095226294330318,NA,100
"Federated landmark IPW","RD",10,-0.7,"high","s1:N(-1.50,0.70^2),Bern(0.10);s2:N(0.00,1.00^2),Bern(0.40);s3:N(1.50,1.30^2),Bern(0.70)",25,"1000/1000/1000","-4.5/-3/-1.5",-0.109066114127678,-0.0523499901509646,0.0944429309948841,-0.0567161239767138,0.0758969829184514,NA,100
"Federated landmark IPW","RD",15,-0.7,"high","s1:N(-1.50,0.70^2),Bern(0.10);s2:N(0.00,1.00^2),Bern(0.40);s3:N(1.50,1.30^2),Bern(0.70)",25,"1000/1000/1000","-4.5/-3/-1.5",-0.0691096391788356,-0.0471029198375579,0.0672052477416433,-0.0220067193412777,0.0638198983238816,NA,100
"Federated landmark IPW","RD",5,-0.5,"high","s1:N(-1.50,0.70^2),Bern(0.10);s2:N(0.00,1.00^2),Bern(0.40);s3:N(1.50,1.30^2),Bern(0.70)",25,"1000/1000/1000","-4.5/-3/-1.5",-0.0882261525943642,-0.0411241958370495,0.122220931021522,-0.0471019567573147,0.113348312955679,NA,100
"Federated landmark IPW","RD",10,-0.5,"high","s1:N(-1.50,0.70^2),Bern(0.10);s2:N(0.00,1.00^2),Bern(0.40);s3:N(1.50,1.30^2),Bern(0.70)",25,"1000/1000/1000","-4.5/-3/-1.5",-0.0811748849249553,-0.0380586440948029,0.0858440701352612,-0.0431162408301524,0.0746046424887398,NA,100
"Federated landmark IPW","RD",15,-0.5,"high","s1:N(-1.50,0.70^2),Bern(0.10);s2:N(0.00,1.00^2),Bern(0.40);s3:N(1.50,1.30^2),Bern(0.70)",25,"1000/1000/1000","-4.5/-3/-1.5",-0.061108256002059,-0.0334239031940955,0.0615717340135652,-0.0276843528079635,0.0552739279420492,NA,100
"Federated landmark IPW","RD",5,-1,"low","s1:N(-0.25,0.95^2),Bern(0.35);s2:N(0.00,1.00^2),Bern(0.40);s3:N(0.25,1.05^2),Bern(0.45)",25,"1000/1000/1000","-4.5/-3/-1.5",-0.229781478894688,-0.120996609283777,0.133616804539183,-0.108784869610911,0.077975019303317,NA,100
"Federated landmark IPW","RD",10,-1,"low","s1:N(-0.25,0.95^2),Bern(0.35);s2:N(0.00,1.00^2),Bern(0.40);s3:N(0.25,1.05^2),Bern(0.45)",25,"1000/1000/1000","-4.5/-3/-1.5",-0.213833606497403,-0.0960392060887807,0.129980263661619,-0.117794400408622,0.0552254166151834,NA,100
"Federated landmark IPW","RD",15,-1,"low","s1:N(-0.25,0.95^2),Bern(0.35);s2:N(0.00,1.00^2),Bern(0.40);s3:N(0.25,1.05^2),Bern(0.45)",25,"1000/1000/1000","-4.5/-3/-1.5",-0.162072243943438,-0.082544843501617,0.0966409026134767,-0.0795274004418215,0.055184325077473,NA,100
"Federated landmark IPW","RD",5,-0.7,"low","s1:N(-0.25,0.95^2),Bern(0.35);s2:N(0.00,1.00^2),Bern(0.40);s3:N(0.25,1.05^2),Bern(0.45)",25,"1000/1000/1000","-4.5/-3/-1.5",-0.163940455137971,-0.0833391550101804,0.110621875829758,-0.0806013001277908,0.0761486440437463,NA,100
"Federated landmark IPW","RD",10,-0.7,"low","s1:N(-0.25,0.95^2),Bern(0.35);s2:N(0.00,1.00^2),Bern(0.40);s3:N(0.25,1.05^2),Bern(0.45)",25,"1000/1000/1000","-4.5/-3/-1.5",-0.149869951621515,-0.067494019095338,0.103539195651407,-0.0823759325261765,0.0630421598276945,NA,100
"Federated landmark IPW","RD",15,-0.7,"low","s1:N(-0.25,0.95^2),Bern(0.35);s2:N(0.00,1.00^2),Bern(0.40);s3:N(0.25,1.05^2),Bern(0.45)",25,"1000/1000/1000","-4.5/-3/-1.5",-0.114629798269829,-0.0568591814129458,0.0807677713832582,-0.0577706168568832,0.0567289205472663,NA,100
"Federated landmark IPW","RD",5,-0.5,"low","s1:N(-0.25,0.95^2),Bern(0.35);s2:N(0.00,1.00^2),Bern(0.40);s3:N(0.25,1.05^2),Bern(0.45)",25,"1000/1000/1000","-4.5/-3/-1.5",-0.116935943293917,-0.0582737841009684,0.100094528342673,-0.0586621591929487,0.0815113903112201,NA,100
"Federated landmark IPW","RD",10,-0.5,"low","s1:N(-0.25,0.95^2),Bern(0.35);s2:N(0.00,1.00^2),Bern(0.40);s3:N(0.25,1.05^2),Bern(0.45)",25,"1000/1000/1000","-4.5/-3/-1.5",-0.105508994627326,-0.0458568191634134,0.0909206631181927,-0.0596521754639126,0.0689618906930054,NA,100
"Federated landmark IPW","RD",15,-0.5,"low","s1:N(-0.25,0.95^2),Bern(0.35);s2:N(0.00,1.00^2),Bern(0.40);s3:N(0.25,1.05^2),Bern(0.45)",25,"1000/1000/1000","-4.5/-3/-1.5",-0.080389672027927,-0.0402042754446026,0.0694134583691127,-0.0401853965833244,0.0568833833133474,NA,100
"Federated landmark IPW","RD",5,-1,"moderate","s1:N(-0.75,0.85^2),Bern(0.20);s2:N(0.00,1.00^2),Bern(0.40);s3:N(0.75,1.15^2),Bern(0.60)",25,"1000/1000/1000","-4.5/-3/-1.5",-0.215103696244123,-0.11540739373497,0.127838729195752,-0.0996963025091535,0.0804243037566104,NA,100
"Federated landmark IPW","RD",10,-1,"moderate","s1:N(-0.75,0.85^2),Bern(0.20);s2:N(0.00,1.00^2),Bern(0.40);s3:N(0.75,1.15^2),Bern(0.60)",25,"1000/1000/1000","-4.5/-3/-1.5",-0.19013061707361,-0.0928265910673114,0.114937666547144,-0.0973040260062984,0.0614849387344555,NA,100
"Federated landmark IPW","RD",15,-1,"moderate","s1:N(-0.75,0.85^2),Bern(0.20);s2:N(0.00,1.00^2),Bern(0.40);s3:N(0.75,1.15^2),Bern(0.60)",25,"1000/1000/1000","-4.5/-3/-1.5",-0.151116753592004,-0.0805692223320915,0.0887448192113272,-0.0705475312599129,0.0541107055445412,NA,100
"Federated landmark IPW","RD",5,-0.7,"moderate","s1:N(-0.75,0.85^2),Bern(0.20);s2:N(0.00,1.00^2),Bern(0.40);s3:N(0.75,1.15^2),Bern(0.60)",25,"1000/1000/1000","-4.5/-3/-1.5",-0.155677430286981,-0.0807520636091489,0.113532880732888,-0.0749253666778318,0.0857286324392241,NA,100
"Federated landmark IPW","RD",10,-0.7,"moderate","s1:N(-0.75,0.85^2),Bern(0.20);s2:N(0.00,1.00^2),Bern(0.40);s3:N(0.75,1.15^2),Bern(0.60)",25,"1000/1000/1000","-4.5/-3/-1.5",-0.151209058451087,-0.0655723696456074,0.109306391383523,-0.0856366888054796,0.0682704420692039,NA,100
"Federated landmark IPW","RD",15,-0.7,"moderate","s1:N(-0.75,0.85^2),Bern(0.20);s2:N(0.00,1.00^2),Bern(0.40);s3:N(0.75,1.15^2),Bern(0.60)",25,"1000/1000/1000","-4.5/-3/-1.5",-0.113039539644724,-0.0565264236864906,0.072965139630496,-0.056513115958233,0.0463863804244076,NA,100
"Federated landmark IPW","RD",5,-0.5,"moderate","s1:N(-0.75,0.85^2),Bern(0.20);s2:N(0.00,1.00^2),Bern(0.40);s3:N(0.75,1.15^2),Bern(0.60)",25,"1000/1000/1000","-4.5/-3/-1.5",-0.111067379994471,-0.0565825298684021,0.0957655103795316,-0.0544848501260693,0.079152289507855,NA,100
