"task_id","rep","estimand","fragmentation","initiation","n_sites","n_per_site","empty_g1_at_tstar","truth","fed_estimate","fed_bias","local_estimate","local_bias","local_minus_fed","absolute_bias_gap","empty_g1_fraction"
1,49,"RD","10_sites_x_500","moderate",10,500,0,-0.0890061663840512,-0.0893650133805828,-0.000358846996531548,-0.0895205769030044,-0.000514410518953179,-0.000155563522421631,0.000155563522421631,0
1,49,"RMST_diff","10_sites_x_500","moderate",10,500,0,1.92756947857927,1.86697749330173,-0.0605919852775472,1.86863621164109,-0.0589332669381886,0.0016587183393586,-0.0016587183393586,0
1,50,"RD","10_sites_x_500","moderate",10,500,0,-0.0890061663840512,-0.0844062072136571,0.00459995917039413,-0.084650151065358,0.00435601531869323,-0.000243943851700901,-0.000243943851700901,0
1,50,"RMST_diff","10_sites_x_500","moderate",10,500,0,1.92756947857927,1.91874461838033,-0.00882486019894024,1.91983964942548,-0.0077298291537975,0.00109503104514275,-0.00109503104514275,0
1,51,"RD","10_sites_x_500","moderate",10,500,0,-0.0890061663840512,-0.0854712854265954,0.0035348809574558,-0.0856688078305536,0.00333735855349759,-0.000197522403958206,-0.000197522403958206,0
1,51,"RMST_diff","10_sites_x_500","moderate",10,500,0,1.92756947857927,1.84738891908568,-0.0801805594935967,1.84817221583657,-0.0793972627427024,0.00078329675089428,-0.00078329675089428,0
1,52,"RD","10_sites_x_500","moderate",10,500,0,-0.0890061663840512,-0.0816211072809183,0.00738505910313292,-0.0816987077335645,0.00730745865048676,-7.76004526461538e-05,-7.76004526461538e-05,0
1,52,"RMST_diff","10_sites_x_500","moderate",10,500,0,1.92756947857927,1.73974133024798,-0.187828148331299,1.73871668628968,-0.188852792289591,-0.00102464395829216,0.00102464395829216,0
1,53,"RD","10_sites_x_500","moderate",10,500,0,-0.0890061663840512,-0.0786801977145763,0.0103259686694749,-0.0784161370366622,0.0105900293473891,0.00026406067791418,0.00026406067791418,0
1,53,"RMST_diff","10_sites_x_500","moderate",10,500,0,1.92756947857927,1.73947723043568,-0.188092248143596,1.73423665381855,-0.193332824760724,-0.00524057661712796,0.00524057661712796,0
1,54,"RD","10_sites_x_500","moderate",10,500,0,-0.0890061663840512,-0.0756732171849887,0.0133329491990626,-0.0752501614908576,0.0137560048931936,0.000423055694131036,0.000423055694131036,0
1,54,"RMST_diff","10_sites_x_500","moderate",10,500,0,1.92756947857927,1.67253723556228,-0.25503224301699,1.66346890732205,-0.264100571257227,-0.00906832824023773,0.00906832824023773,0
