"method","estimand","tau","beta_trt","scenario","conf_mult","t_star","site_sizes","init_intercepts","mean_est","truth","rmse","bias","emp_sd","coverage","n_reps"
"Federated IPW (no cloning)","RD",6,-0.7,"medium",1,25,"100/100/100/100/100/100/100/100/100/100","-4.5/-4.16666666666667/-3.83333333333333/-3.5/-3.16666666666667/-2.83333333333333/-2.5/-2.16666666666667/-1.83333333333333/-1.5",-0.0407318481283432,-0.0793266057246547,0.0815026371155862,0.0385947575963114,0.0721469078057837,NA,100
"Federated IPW (no cloning)","RD",9,-0.7,"medium",1,25,"100/100/100/100/100/100/100/100/100/100","-4.5/-4.16666666666667/-3.83333333333333/-3.5/-3.16666666666667/-2.83333333333333/-2.5/-2.16666666666667/-1.83333333333333/-1.5",-0.00797761459336788,-0.0709487004451346,0.0815726236853729,0.0629710858517667,0.0521142420438303,NA,100
"Federated IPW (no cloning)","RD",3,-0.5,"medium",1,25,"100/100/100/100/100/100/100/100/100/100","-4.5/-4.16666666666667/-3.83333333333333/-3.5/-3.16666666666667/-2.83333333333333/-2.5/-2.16666666666667/-1.83333333333333/-1.5",-0.0263903552084229,-0.0662533898107849,0.0892022417427834,0.039863034602362,0.0802016297740451,NA,100
"Federated IPW (no cloning)","RD",6,-0.5,"medium",1,25,"100/100/100/100/100/100/100/100/100/100","-4.5/-4.16666666666667/-3.83333333333333/-3.5/-3.16666666666667/-2.83333333333333/-2.5/-2.16666666666667/-1.83333333333333/-1.5",-0.0306026790291506,-0.0551771959607568,0.0981430231041867,0.0245745169316062,0.0954952328473671,NA,100
"Federated IPW (no cloning)","RD",9,-0.5,"medium",1,25,"100/100/100/100/100/100/100/100/100/100","-4.5/-4.16666666666667/-3.83333333333333/-3.5/-3.16666666666667/-2.83333333333333/-2.5/-2.16666666666667/-1.83333333333333/-1.5",0.011370150578885,-0.0497459016528424,0.076331467912045,0.0611160522317274,0.045961349080607,NA,100
"Federated IPW (no cloning)","RD",3,-1,"small",0.5,25,"100/100/100/100/100/100/100/100/100/100","-4.5/-4.16666666666667/-3.83333333333333/-3.5/-3.16666666666667/-2.83333333333333/-2.5/-2.16666666666667/-1.83333333333333/-1.5",-0.110702761134994,-0.142331830961643,0.068642662301552,0.0316290698266492,0.0612283111856957,NA,100
"Federated IPW (no cloning)","RD",6,-1,"small",0.5,25,"100/100/100/100/100/100/100/100/100/100","-4.5/-4.16666666666667/-3.83333333333333/-3.5/-3.16666666666667/-2.83333333333333/-2.5/-2.16666666666667/-1.83333333333333/-1.5",-0.114773569959546,-0.114197883183271,0.0461874659271377,-0.00057568677627471,0.0464165439148165,NA,100
"Federated IPW (no cloning)","RD",9,-1,"small",0.5,25,"100/100/100/100/100/100/100/100/100/100","-4.5/-4.16666666666667/-3.83333333333333/-3.5/-3.16666666666667/-2.83333333333333/-2.5/-2.16666666666667/-1.83333333333333/-1.5",-0.070829235376408,-0.0997926805482521,0.0470954440197803,0.028963445171844,0.0373233169896371,NA,100
"Federated IPW (no cloning)","RD",3,-0.7,"small",0.5,25,"100/100/100/100/100/100/100/100/100/100","-4.5/-4.16666666666667/-3.83333333333333/-3.5/-3.16666666666667/-2.83333333333333/-2.5/-2.16666666666667/-1.83333333333333/-1.5",-0.0741756851705588,-0.0945497549345045,0.0532085877259496,0.0203740697639457,0.0494009680623663,NA,100
"Federated IPW (no cloning)","RD",6,-0.7,"small",0.5,25,"100/100/100/100/100/100/100/100/100/100","-4.5/-4.16666666666667/-3.83333333333333/-3.5/-3.16666666666667/-2.83333333333333/-2.5/-2.16666666666667/-1.83333333333333/-1.5",-0.0617783460801752,-0.0771062167818387,0.0433431072462648,0.0153278707016635,0.0407465847303324,NA,100
"Federated IPW (no cloning)","RD",9,-0.7,"small",0.5,25,"100/100/100/100/100/100/100/100/100/100","-4.5/-4.16666666666667/-3.83333333333333/-3.5/-3.16666666666667/-2.83333333333333/-2.5/-2.16666666666667/-1.83333333333333/-1.5",-0.035308563935133,-0.0680797510179275,0.0507526676025212,0.0327711870827945,0.0389493658090314,NA,100
"Federated IPW (no cloning)","RD",3,-0.5,"small",0.5,25,"100/100/100/100/100/100/100/100/100/100","-4.5/-4.16666666666667/-3.83333333333333/-3.5/-3.16666666666667/-2.83333333333333/-2.5/-2.16666666666667/-1.83333333333333/-1.5",-0.0726603711321864,-0.0652419226450364,0.0540568597439522,-0.00741844848715006,0.053815159775264,NA,100
"Federated IPW (no cloning)","RD",6,-0.5,"small",0.5,25,"100/100/100/100/100/100/100/100/100/100","-4.5/-4.16666666666667/-3.83333333333333/-3.5/-3.16666666666667/-2.83333333333333/-2.5/-2.16666666666667/-1.83333333333333/-1.5",-0.00727112900725148,-0.0537208970116081,0.0558539248047794,0.0464497680043566,0.0311736739560576,NA,100
"Federated IPW (no cloning)","RD",9,-0.5,"small",0.5,25,"100/100/100/100/100/100/100/100/100/100","-4.5/-4.16666666666667/-3.83333333333333/-3.5/-3.16666666666667/-2.83333333333333/-2.5/-2.16666666666667/-1.83333333333333/-1.5",-0.0222331884440064,-0.0477480204468972,0.0476011570519327,0.0255148320028908,0.040387810699242,NA,100
"Federated IPW (no cloning)","RD",3,-1,"strong",1.5,25,"100/100/100/100/100/100/100/100/100/100","-4.5/-4.16666666666667/-3.83333333333333/-3.5/-3.16666666666667/-2.83333333333333/-2.5/-2.16666666666667/-1.83333333333333/-1.5",-0.138035372226794,-0.146989280744022,0.114378265331919,0.00895390851722796,0.114601704213729,NA,100
"Federated IPW (no cloning)","RD",6,-1,"strong",1.5,25,"100/100/100/100/100/100/100/100/100/100","-4.5/-4.16666666666667/-3.83333333333333/-3.5/-3.16666666666667/-2.83333333333333/-2.5/-2.16666666666667/-1.83333333333333/-1.5",-0.0689124201960389,-0.124887284393515,0.10715563677272,0.0559748641974757,0.0918339799253549,NA,100
"Federated IPW (no cloning)","RD",9,-1,"strong",1.5,25,"100/100/100/100/100/100/100/100/100/100","-4.5/-4.16666666666667/-3.83333333333333/-3.5/-3.16666666666667/-2.83333333333333/-2.5/-2.16666666666667/-1.83333333333333/-1.5",-0.0117761506878951,-0.108579816052468,0.116705340450664,0.0968036653645729,0.0655141812213213,NA,100
"Federated IPW (no cloning)","RD",3,-0.7,"strong",1.5,25,"100/100/100/100/100/100/100/100/100/100","-4.5/-4.16666666666667/-3.83333333333333/-3.5/-3.16666666666667/-2.83333333333333/-2.5/-2.16666666666667/-1.83333333333333/-1.5",-0.106016855082484,-0.0973733428414895,0.182767516894521,-0.00864351224099481,0.183482735069583,NA,100
