"method","estimand","fragmentation","initiation","init_intercept","n_sites","n_per_site","total_n","tau","t_star","beta_trt","conf_mult","truncation","mean_est","median_est","truth","mean_bias","median_bias","emp_sd","rmse","coverage","mean_init_rate","mean_death_rate","mean_zero_initiation_sites","mean_empty_g1_at_tstar","mean_empty_g1_fraction","mean_fit_warning_count","n_reps"
"fed_ccw_tvipcw","RMST1","50_sites_x_100","sparse",-4.5,50,100,5000,4,25,-0.7,0,"0.001/0.999",10.8099774116583,10.7703377957189,11.2866192035682,-0.47664179190985,-0.516281407849307,0.623910489103966,0.784317632434464,NA,0.0361506666666667,0.845652,1.32333333333333,16.3766666666667,0.327533333333333,4.06,300
"fed_ccw_tvipcw","RMST_diff","100_sites_x_50","moderate",-2.5,100,50,5000,4,25,-0.7,0,"0.001/0.999",1.69604678882494,1.68528683839866,1.92756947857927,-0.231522689754339,-0.242282640180609,0.104313569850767,0.253865723674107,1,0.225412,0.823667333333333,0,1.58,0.0158,0,300
"fed_ccw_tvipcw","RMST_diff","100_sites_x_50","sparse",-4.5,100,50,5000,4,25,-0.7,0,"0.001/0.999",2.23302123736069,2.38004398732892,1.74176433931583,0.491256898044864,0.638279648013098,1.10952025695367,1.21171988916522,0.95,0.035266,0.848106666666667,18.0333333333333,57.85,0.5785,61.2866666666667,300
"fed_ccw_tvipcw","RMST_diff","10_sites_x_500","moderate",-2.5,10,500,5000,4,25,-0.7,0,"0.001/0.999",1.89712837480838,1.89008088854983,1.92756947857927,-0.0304411037708985,-0.0374885900294428,0.199313230497335,0.201295815746966,0.96,0.228105333333333,0.819213333333333,0,0,0,0,300
"fed_ccw_tvipcw","RMST_diff","10_sites_x_500","sparse",-4.5,10,500,5000,4,25,-0.7,0,"0.001/0.999",1.64415406956615,1.63505676080015,1.74176433931583,-0.0976102697496706,-0.106707578515675,0.478940507502197,0.488003238843054,0.946666666666667,0.03616,0.844415333333333,0,0.0333333333333333,0.00333333333333333,0,300
"fed_ccw_tvipcw","RMST_diff","20_sites_x_250","moderate",-2.5,20,250,5000,4,25,-0.7,0,"0.001/0.999",1.91533023948714,1.9500397356428,1.92756947857927,-0.0122392390921349,0.0224702570635307,0.208125077050579,0.20813807879676,0.973333333333333,0.228116666666667,0.81962,0,0,0,0,300
"fed_ccw_tvipcw","RMST_diff","20_sites_x_250","sparse",-4.5,20,250,5000,4,25,-0.7,0,"0.001/0.999",1.6937720635851,1.50862076320273,1.74176433931583,-0.0479922757307228,-0.2331435761131,0.6936052802842,0.694109440759748,0.903333333333333,0.0362633333333333,0.845374666666667,0,1.09666666666667,0.0548333333333333,0,300
"fed_ccw_tvipcw","RMST_diff","50_sites_x_100","moderate",-2.5,50,100,5000,4,25,-0.7,0,"0.001/0.999",1.93130011869133,1.94645149520607,1.92756947857927,0.00373064011205795,0.0188820166267947,0.209357192963379,0.209041265002071,0.973333333333333,0.228278,0.82203,0,0,0,0,300
"fed_ccw_tvipcw","RMST_diff","50_sites_x_100","sparse",-4.5,50,100,5000,4,25,-0.7,0,"0.001/0.999",1.31595126289692,1.23011516120287,1.74176433931583,-0.425813076418902,-0.511649178112959,0.626913137538859,0.756985330853962,0.986666666666667,0.0361506666666667,0.845652,1.32333333333333,16.3766666666667,0.327533333333333,4.06,300
"fed_ccw_tvipcw","RR","100_sites_x_50","moderate",-2.5,100,50,5000,4,25,-0.7,0,"0.001/0.999",0.898110445080738,0.897580838818713,0.895150843144278,0.00295960193645954,0.00242999567443469,0.00603246225585439,0.00671033102668628,1,0.225412,0.823667333333333,0,1.58,0.0158,0,300
