"task_id","rep","fragmentation","initiation","init_intercept","n_sites","n_per_site","total_n","observed_init_rate","observed_death_rate","zero_initiation_sites","mean_initiators_per_site","min_initiators_per_site","max_initiators_per_site","empty_g1_at_tau","empty_g1_at_tstar","empty_g0_at_tstar","any_post_tau_empty_g1","fit_warning_count"
1,94,"10_sites_x_500","moderate",-2.5,10,500,5000,0.2352,0.8252,0,117.6,109,126,0,0,0,0,0
1,95,"10_sites_x_500","moderate",-2.5,10,500,5000,0.2332,0.8292,0,116.6,109,123,0,0,0,0,0
1,96,"10_sites_x_500","moderate",-2.5,10,500,5000,0.2338,0.8326,0,116.9,109,123,0,0,0,0,0
1,97,"10_sites_x_500","moderate",-2.5,10,500,5000,0.2308,0.8298,0,115.4,108,123,0,0,0,0,0
1,98,"10_sites_x_500","moderate",-2.5,10,500,5000,0.234,0.8278,0,117,108,128,0,0,0,0,0
1,99,"10_sites_x_500","moderate",-2.5,10,500,5000,0.2348,0.8252,0,117.4,108,128,0,0,0,0,0
1,100,"10_sites_x_500","moderate",-2.5,10,500,5000,0.2332,0.8252,0,116.6,108,128,0,0,0,0,0
1,101,"10_sites_x_500","moderate",-2.5,10,500,5000,0.2324,0.8248,0,116.2,108,128,0,0,0,0,0
1,102,"10_sites_x_500","moderate",-2.5,10,500,5000,0.2328,0.819,0,116.4,108,128,0,0,0,0,0
1,103,"10_sites_x_500","moderate",-2.5,10,500,5000,0.2344,0.8202,0,117.2,108,128,0,0,0,0,0
1,104,"10_sites_x_500","moderate",-2.5,10,500,5000,0.2348,0.8212,0,117.4,108,128,0,0,0,0,0
1,105,"10_sites_x_500","moderate",-2.5,10,500,5000,0.2346,0.8146,0,117.3,108,128,0,0,0,0,0
1,106,"10_sites_x_500","moderate",-2.5,10,500,5000,0.2298,0.8112,0,114.9,98,128,0,0,0,0,0
1,107,"10_sites_x_500","moderate",-2.5,10,500,5000,0.2316,0.8112,0,115.8,98,128,0,0,0,0,0
1,108,"10_sites_x_500","moderate",-2.5,10,500,5000,0.2286,0.8134,0,114.3,98,124,0,0,0,0,0
1,109,"10_sites_x_500","moderate",-2.5,10,500,5000,0.226,0.812,0,113,98,124,0,0,0,0,0
1,110,"10_sites_x_500","moderate",-2.5,10,500,5000,0.224,0.8178,0,112,98,124,0,0,0,0,0
1,111,"10_sites_x_500","moderate",-2.5,10,500,5000,0.2214,0.8204,0,110.7,98,124,0,0,0,0,0
1,112,"10_sites_x_500","moderate",-2.5,10,500,5000,0.222,0.8204,0,111,98,124,0,0,0,0,0
1,113,"10_sites_x_500","moderate",-2.5,10,500,5000,0.2192,0.8198,0,109.6,98,120,0,0,0,0,0
1,114,"10_sites_x_500","moderate",-2.5,10,500,5000,0.2166,0.8168,0,108.3,98,117,0,0,0,0,0
1,115,"10_sites_x_500","moderate",-2.5,10,500,5000,0.2144,0.8192,0,107.2,98,117,0,0,0,0,0
1,116,"10_sites_x_500","moderate",-2.5,10,500,5000,0.2192,0.8236,0,109.6,99,122,0,0,0,0,0
1,117,"10_sites_x_500","moderate",-2.5,10,500,5000,0.2156,0.822,0,107.8,99,122,0,0,0,0,0
