"method","estimand","tau","beta_trt","scenario","conf_mult","t_star","site_sizes","init_intercepts","mean_est","truth","bias","emp_sd","rmse","coverage","n_reps"
"Federated landmark IPW","RD",8,-1,"medium",1,25,"200/800/2000","-4.5/-3/-1.5",-0.205458249593955,-0.121308991608462,-0.0841492579854923,0.0361248866994382,0.0841492579854923,NA,100
"Federated landmark IPW","RD",2,-0.7,"medium",1,25,"200/800/2000","-4.5/-3/-1.5",-0.150254888033586,-0.104543601071603,-0.0457112869619832,0.0472222378009679,0.0457112869619832,NA,100
"Federated landmark IPW","RD",5,-0.7,"medium",1,25,"200/800/2000","-4.5/-3/-1.5",-0.15575720645118,-0.0886284580213903,-0.0671287484297898,0.0452637041222043,0.0671287484297898,NA,100
"Federated landmark IPW","RD",8,-0.7,"medium",1,25,"200/800/2000","-4.5/-3/-1.5",-0.138110825831517,-0.0815980666420782,-0.0565127591894384,0.0632315533187979,0.0565127591894384,NA,100
"Federated landmark IPW","RD",2,-0.5,"medium",1,25,"200/800/2000","-4.5/-3/-1.5",-0.110899904066805,-0.071399278594779,-0.0395006254720261,0.0589296167042271,0.0395006254720261,NA,100
"Federated landmark IPW","RD",5,-0.5,"medium",1,25,"200/800/2000","-4.5/-3/-1.5",-0.118017483604083,-0.0609944577766914,-0.0570230258273912,0.046341590600651,0.0570230258273912,NA,100
"Federated landmark IPW","RD",8,-0.5,"medium",1,25,"200/800/2000","-4.5/-3/-1.5",-0.107636409336092,-0.056344979038305,-0.0512914302977868,0.040570550366501,0.0512914302977868,NA,100
"Federated landmark IPW","RD",2,-1,"small",0.4,25,"200/800/2000","-4.5/-3/-1.5",-0.195382452407386,-0.15957236592368,-0.0358100864837063,0.0339724838919086,0.0358100864837063,NA,100
"Federated landmark IPW","RD",5,-1,"small",0.4,25,"200/800/2000","-4.5/-3/-1.5",-0.218555794452097,-0.1310527983408,-0.0875029961112971,0.0322000063938733,0.0875029961112971,NA,100
"Federated landmark IPW","RD",8,-1,"small",0.4,25,"200/800/2000","-4.5/-3/-1.5",-0.219092577445498,-0.120376375621156,-0.0987162018243424,0.032457927476827,0.0987162018243424,NA,100
"Federated landmark IPW","RD",2,-0.7,"small",0.4,25,"200/800/2000","-4.5/-3/-1.5",-0.130766940968928,-0.105547081552456,-0.0252198594164714,0.0314334488702293,0.0252198594164714,NA,100
"Federated landmark IPW","RD",5,-0.7,"small",0.4,25,"200/800/2000","-4.5/-3/-1.5",-0.155132452080221,-0.088343097379044,-0.0667893547011765,0.0267874788049141,0.0667893547011765,NA,100
"Federated landmark IPW","RD",8,-0.7,"small",0.4,25,"200/800/2000","-4.5/-3/-1.5",-0.15362115648503,-0.081730114388728,-0.0718910420963018,0.0275732840000022,0.0718910420963018,NA,100
"Federated landmark IPW","RD",2,-0.5,"small",0.4,25,"200/800/2000","-4.5/-3/-1.5",-0.0899315833279382,-0.0724780601653341,-0.0174535231626041,0.0321229006242327,0.0174535231626041,NA,100
"Federated landmark IPW","RD",5,-0.5,"small",0.4,25,"200/800/2000","-4.5/-3/-1.5",-0.106094609743291,-0.0611565510217956,-0.0449380587214957,0.0247623404060725,0.0449380587214957,NA,100
"Federated landmark IPW","RD",8,-0.5,"small",0.4,25,"200/800/2000","-4.5/-3/-1.5",-0.109629282870373,-0.0568697996070544,-0.0527594832633182,0.0312774758526927,0.0527594832633182,NA,100
"Federated landmark IPW","RD",2,-1,"strong",2,25,"200/800/2000","-4.5/-3/-1.5",-0.199768617268113,-0.16800051272222,-0.0317681045458925,0.111167257628658,0.0317681045458925,NA,100
"Federated landmark IPW","RD",5,-1,"strong",2,25,"200/800/2000","-4.5/-3/-1.5",-0.204162687632551,-0.135925890482634,-0.0682367971499166,0.0824893169367239,0.0682367971499166,NA,100
"Federated landmark IPW","RD",8,-1,"strong",2,25,"200/800/2000","-4.5/-3/-1.5",-0.204828162381494,-0.121867323139782,-0.0829608392417119,0.076783542116622,0.0829608392417119,NA,100
"Federated landmark IPW","RD",2,-0.7,"strong",2,25,"200/800/2000","-4.5/-3/-1.5",-0.144856984897755,-0.111365398329922,-0.0334915865678337,0.102260463659397,0.0334915865678337,NA,100
"Federated landmark IPW","RD",5,-0.7,"strong",2,25,"200/800/2000","-4.5/-3/-1.5",-0.16061939521859,-0.0901105428272962,-0.0705088523912936,0.0964099521380939,0.0705088523912936,NA,100
"Federated landmark IPW","RD",8,-0.7,"strong",2,25,"200/800/2000","-4.5/-3/-1.5",-0.141665814473176,-0.0798339717208472,-0.061831842752329,0.0856749787224005,0.061831842752329,NA,100
"Federated landmark IPW","RD",2,-0.5,"strong",2,25,"200/800/2000","-4.5/-3/-1.5",-0.105342892481895,-0.0764641151528218,-0.0288787773290729,0.12174415405638,0.0288787773290729,NA,100
"Federated landmark IPW","RD",5,-0.5,"strong",2,25,"200/800/2000","-4.5/-3/-1.5",-0.109347833017274,-0.0610174617432336,-0.04833037127404,0.0793401745424579,0.04833037127404,NA,100
"Federated landmark IPW","RD",8,-0.5,"strong",2,25,"200/800/2000","-4.5/-3/-1.5",-0.103451587064001,-0.0530004391749477,-0.0504511478890532,0.0755975619817473,0.0504511478890532,NA,100
