"method","estimand","tau","beta_trt","scenario","conf_mult","t_star","site_sizes","init_intercepts","mean_est","truth","rmse","bias","emp_sd","coverage","n_reps"
"Federated landmark IPW","RD",10,-1,"medium",1,25,"100/100/100/100/100/100/100/100/100/100","-4.5/-4.16666666666667/-3.83333333333333/-3.5/-3.16666666666667/-2.83333333333333/-2.5/-2.16666666666667/-1.83333333333333/-1.5",-0.179724759243353,-0.0967781265780999,0.124264812630865,-0.0829466326652528,0.0926835147190804,NA,300
"Federated landmark IPW","RD",15,-1,"medium",1,25,"100/100/100/100/100/100/100/100/100/100","-4.5/-4.16666666666667/-3.83333333333333/-3.5/-3.16666666666667/-2.83333333333333/-2.5/-2.16666666666667/-1.83333333333333/-1.5",-0.123463813893282,-0.08239526142237,0.121702502301849,-0.0410685524709124,0.11475525679032,NA,300
"Federated landmark IPW","RD",5,-0.7,"medium",1,25,"100/100/100/100/100/100/100/100/100/100","-4.5/-4.16666666666667/-3.83333333333333/-3.5/-3.16666666666667/-2.83333333333333/-2.5/-2.16666666666667/-1.83333333333333/-1.5",-0.128693922514972,-0.0828864836809106,0.110920282242614,-0.0458074388340616,0.101188526787491,NA,300
"Federated landmark IPW","RD",10,-0.7,"medium",1,25,"100/100/100/100/100/100/100/100/100/100","-4.5/-4.16666666666667/-3.83333333333333/-3.5/-3.16666666666667/-2.83333333333333/-2.5/-2.16666666666667/-1.83333333333333/-1.5",-0.106071891434889,-0.0666259040833148,0.0931906236441468,-0.0394459873515738,0.0845715529928942,NA,300
"Federated landmark IPW","RD",15,-0.7,"medium",1,25,"100/100/100/100/100/100/100/100/100/100","-4.5/-4.16666666666667/-3.83333333333333/-3.5/-3.16666666666667/-2.83333333333333/-2.5/-2.16666666666667/-1.83333333333333/-1.5",-0.0784462557910392,-0.0576113263955292,0.128047384414224,-0.0208349293955099,0.126552056941516,NA,300
"Federated landmark IPW","RD",5,-0.5,"medium",1,25,"100/100/100/100/100/100/100/100/100/100","-4.5/-4.16666666666667/-3.83333333333333/-3.5/-3.16666666666667/-2.83333333333333/-2.5/-2.16666666666667/-1.83333333333333/-1.5",-0.0887330371046164,-0.056299762774662,0.109299369543135,-0.0324332743299545,0.104550806481272,NA,300
"Federated landmark IPW","RD",10,-0.5,"medium",1,25,"100/100/100/100/100/100/100/100/100/100","-4.5/-4.16666666666667/-3.83333333333333/-3.5/-3.16666666666667/-2.83333333333333/-2.5/-2.16666666666667/-1.83333333333333/-1.5",-0.0504212671321083,-0.0479979767601583,0.0975875493701723,-0.00242329037195004,0.0977204605865109,NA,300
"Federated landmark IPW","RD",15,-0.5,"medium",1,25,"100/100/100/100/100/100/100/100/100/100","-4.5/-4.16666666666667/-3.83333333333333/-3.5/-3.16666666666667/-2.83333333333333/-2.5/-2.16666666666667/-1.83333333333333/-1.5",-0.0278985106603988,-0.040137751357882,0.104713327865599,0.0122392406974832,0.104169347039872,NA,300
"Federated landmark IPW","RD",5,-1,"small",0.5,25,"100/100/100/100/100/100/100/100/100/100","-4.5/-4.16666666666667/-3.83333333333333/-3.5/-3.16666666666667/-2.83333333333333/-2.5/-2.16666666666667/-1.83333333333333/-1.5",-0.211198068885432,-0.122263043641261,0.11585899217187,-0.0889350252441708,0.0743794889726526,NA,300
"Federated landmark IPW","RD",10,-1,"small",0.5,25,"100/100/100/100/100/100/100/100/100/100","-4.5/-4.16666666666667/-3.83333333333333/-3.5/-3.16666666666667/-2.83333333333333/-2.5/-2.16666666666667/-1.83333333333333/-1.5",-0.202898043577172,-0.0937729690654333,0.132592353218361,-0.109125074511738,0.0754415114528537,NA,300
"Federated landmark IPW","RD",15,-1,"small",0.5,25,"100/100/100/100/100/100/100/100/100/100","-4.5/-4.16666666666667/-3.83333333333333/-3.5/-3.16666666666667/-2.83333333333333/-2.5/-2.16666666666667/-1.83333333333333/-1.5",-0.144498208531162,-0.0800475615463727,0.105370082359223,-0.0644506469847897,0.0834997548289001,NA,300
"Federated landmark IPW","RD",5,-0.7,"small",0.5,25,"100/100/100/100/100/100/100/100/100/100","-4.5/-4.16666666666667/-3.83333333333333/-3.5/-3.16666666666667/-2.83333333333333/-2.5/-2.16666666666667/-1.83333333333333/-1.5",-0.132279263953781,-0.0819239603898967,0.0978706430842568,-0.0503553035638848,0.0840628418823249,NA,300
"Federated landmark IPW","RD",10,-0.7,"small",0.5,25,"100/100/100/100/100/100/100/100/100/100","-4.5/-4.16666666666667/-3.83333333333333/-3.5/-3.16666666666667/-2.83333333333333/-2.5/-2.16666666666667/-1.83333333333333/-1.5",-0.139260399186644,-0.0639331067141816,0.105904188644157,-0.0753272924724619,0.0745656061008648,NA,300
"Federated landmark IPW","RD",15,-0.7,"small",0.5,25,"100/100/100/100/100/100/100/100/100/100","-4.5/-4.16666666666667/-3.83333333333333/-3.5/-3.16666666666667/-2.83333333333333/-2.5/-2.16666666666667/-1.83333333333333/-1.5",-0.0988519411456367,-0.0552083200961216,0.116718559860897,-0.043643621049515,0.108432692118606,NA,300
