"model","heterogeneity","replicate","tau","site","interval","eligible_n","initiations","observed_initiation_rate","common_numerator_hazard","denominator_mean","denominator_min","denominator_q01","denominator_q05","denominator_q50","denominator_q95","denominator_q99","denominator_max","prop_den_lt_001","prop_den_gt_099","observed_prob_min","observed_prob_q01","observed_prob_q05","prop_observed_prob_lt_001","prop_observed_prob_lt_005"
"Pooled site FE: shared slopes","moderate",3,15,"2",13,260,9,0.0346153846153846,0.0230547550432277,0.0197174678653944,0.000248437733862105,0.000268937285126042,0.000924400899816457,0.00875970258227653,0.072750822566662,0.151770645266996,0.259763820303085,0.523076923076923,0,0.00404297250083707,0.0234967591127317,0.884642095220883,0.00384615384615385,0.0153846153846154
"Pooled site FE: shared slopes","moderate",3,15,"3",13,212,4,0.0188679245283019,0.0230547550432277,0.0261670640060643,0.000321374400624521,0.000385360493027394,0.00145013397890699,0.0131923811746981,0.0816924651866171,0.259246790622327,0.302668534833392,0.400943396226415,0,0.00860116316310624,0.0407507012735164,0.913340846397432,0.00471698113207547,0.00943396226415094
"Pooled site FE: shared slopes","moderate",3,15,"4",13,170,4,0.0235294117647059,0.0230547550432277,0.0350649701240721,0.000545355749772169,0.000581527555970872,0.00254242117965357,0.0185138369078019,0.133108659246704,0.317444160541436,0.38349301069037,0.282352941176471,0,0.0359813798169348,0.0617676049928747,0.855705184576852,0,0.00588235294117647
"Pooled site FE: shared slopes","moderate",3,15,"5",13,119,5,0.0420168067226891,0.0230547550432277,0.0435371405949225,0.00034138292537824,0.000881669669165111,0.00312259534534363,0.0220798385333661,0.1869998707607,0.327963197975707,0.379666341585725,0.252100840336134,0,0.086242925857526,0.115530002717234,0.649784816166818,0,0
"Pooled site FE: shared slopes","moderate",3,15,"Overall",14,973,15,0.0154162384378212,0.0154162384378212,0.015416238464181,7.21773726886427e-05,0.000193824003078939,0.000535184212235842,0.00701346121610961,0.0628923550857634,0.105970814066053,0.198776663854479,0.595066803699897,0,0.0316190919066035,0.0966831941390392,0.929190270918687,0,0.00205549845837616
"Pooled site FE: shared slopes","moderate",3,15,"1",14,266,0,0,0.0154162384378212,0.00594112212273921,7.21773726886427e-05,0.000112415625072448,0.000272176555369723,0.00273874436809961,0.0223411086042709,0.0512495767227373,0.105976959566917,0.834586466165414,0,0.894023040433083,0.948750423277263,0.977658891395729,0,0
"Pooled site FE: shared slopes","moderate",3,15,"2",14,238,1,0.00420168067226891,0.0154162384378212,0.0129829540871654,0.000111392992606595,0.000167650539345105,0.000544672882897109,0.00594090071157827,0.0506189323680087,0.0819313198554791,0.120588862338949,0.651260504201681,0,0.0524693432277474,0.898998928008176,0.949381067631991,0,0
"Pooled site FE: shared slopes","moderate",3,15,"3",14,199,2,0.0100502512562814,0.0154162384378212,0.016985651544617,0.000132014887546662,0.000207700159902633,0.000848063887732558,0.00958052878621274,0.0699245984355976,0.102393782835833,0.198776663854479,0.542713567839196,0,0.0899025191599132,0.32639042154001,0.930075401564402,0,0
"Pooled site FE: shared slopes","moderate",3,15,"4",14,160,7,0.04375,0.0154162384378212,0.0218220269993428,0.000523009128776858,0.000534413123616773,0.00161565293826812,0.0140854195034445,0.0726671103417153,0.12696438496013,0.139346518452338,0.375,0,0.0316190919066035,0.0409367147529735,0.866109798053076,0,0.0125
"Pooled site FE: shared slopes","moderate",3,15,"5",14,110,5,0.0454545454545455,0.0154162384378212,0.0314368135543683,0.000193401715926104,0.000468818467906428,0.0024003299606452,0.0168166296779182,0.0980378514917258,0.186887479919414,0.18980519855367,0.309090909090909,0,0.0830592143727071,0.0930263767435218,0.78539209421192,0,0
