"model","heterogeneity","tau","site","strategy","interval","replicates","mean_risk_n","mean_weight","mean_q95","mean_q99","median_max","max_across_reps","mean_ess","mean_ess_fraction","p10_ess_fraction","mean_design_effect","mean_prop_weight_gt_10"
"Federated: site-specific slopes","moderate",5,"2","Initiate by tau",5,10,78.9,2.82700970712249,9.07799539643366,39.1816032024091,23.859991764784,161.327959518245,25.6266386099819,0.323159530619935,0.060819689194283,5.41546733719985,0.0386292335626418
"Federated: site-specific slopes","moderate",5,"3","Do not initiate by tau",5,10,468.7,0.811945674362783,1.22249342131022,1.93366950796872,3.82308997089408,10.0490327427222,417.30808149075,0.889299084306041,0.775662530939179,1.13039104837691,0.000222222222222222
"Federated: site-specific slopes","moderate",5,"3","Initiate by tau",5,10,152.6,1.59160799810365,5.55022739880278,13.9740743761515,19.31817735203,55.6162989002404,44.9193269105835,0.294012039190041,0.165196083751861,3.80534273067881,0.0157775236568664
"Federated: site-specific slopes","moderate",5,"4","Do not initiate by tau",5,10,393.7,0.950628223955851,1.67888549855339,3.27252046840053,7.72995967585366,15.3427095779394,284.544535991103,0.721748202766415,0.565526564583831,1.41327477795386,0.000501901811128744
"Federated: site-specific slopes","moderate",5,"4","Initiate by tau",5,10,255.7,0.961285139526105,3.07395559312069,6.75541094998054,8.4423306464007,25.5377145926316,104.329825775864,0.408180477112719,0.259258464454514,2.62290561190706,0.00307212984683033
"Federated: site-specific slopes","moderate",5,"5","Do not initiate by tau",5,10,302.1,1.25901972593262,2.4910752446574,6.85517542646513,14.5503704058854,122.381392619634,133.214946552351,0.436722779260627,0.076089680320265,5.01451330890075,0.00527502516755694
"Federated: site-specific slopes","moderate",5,"5","Initiate by tau",5,10,347.4,0.703126681880935,1.94296827072456,4.59828185933058,7.89648030629302,12.7741175357089,144.637386803257,0.415111685151192,0.351198728601928,2.44389291684421,0.000921690250048459
"Federated: site-specific slopes","moderate",10,"1","Do not initiate by tau",10,10,324.1,0.59868760901422,0.719748537708679,0.969508324457509,1.23817361667711,2.21319926911379,317.899921364391,0.980938448207968,0.96147585780094,1.01954772223816,0
"Federated: site-specific slopes","moderate",10,"1","Initiate by tau",10,10,43.4,4.17353680313271,18.8371397470537,35.8106625305049,33.4660248475987,58.1653312693051,12.7851194990231,0.293462699497989,0.186631033280702,3.6401513216375,0.0994627684053473
"Federated: site-specific slopes","moderate",10,"2","Do not initiate by tau",10,10,317.5,0.648826074898439,0.879700930173545,1.34275149486411,2.16732884207992,6.40792848250243,294.809389820973,0.92574205323208,0.781045728024349,1.08922420993053,0
"Federated: site-specific slopes","moderate",10,"2","Initiate by tau",10,10,85.3,2.79229579551921,10.1442801177155,39.1477239963333,29.3905904862644,101.497850586429,21.4216543356574,0.257923452967883,0.0901435949403567,5.52764274243953,0.0495550739512777
"Federated: site-specific slopes","moderate",10,"3","Do not initiate by tau",10,10,271.9,0.72476199240917,1.15001638478787,1.96675596349441,2.74029416705348,9.26480902844402,226.471985926589,0.832782000857327,0.659944457268308,1.21804821876788,0
"Federated: site-specific slopes","moderate",10,"3","Initiate by tau",10,10,134.3,1.60588095169855,5.66340253157624,15.4266580870041,18.8029431192088,47.4712305520228,39.3462440575017,0.290420808376448,0.171429556423927,3.79715115347378,0.0158328179973716
"Federated: site-specific slopes","moderate",10,"4","Do not initiate by tau",10,10,199.5,0.862058012974656,1.69608791261462,3.50625076091147,4.85430938802859,9.78449994937535,143.336808524418,0.719881802760342,0.574874729903594,1.41056963573321,0
"Federated: site-specific slopes","moderate",10,"4","Initiate by tau",10,10,181.6,1.18498423970944,3.82243280866423,10.0803222069143,16.896029875947,56.6225341384348,50.8059882010363,0.279572616230012,0.119779978028606,4.28038411685902,0.00899270773471982
"Federated: site-specific slopes","moderate",10,"5","Do not initiate by tau",10,10,137.8,1.20115939234678,2.25235434935738,14.4726143750942,9.98481612003894,208.42178206754,67.4576591443199,0.488133018426754,0.146668276751701,6.47831768466599,0.00434842264711929
"Federated: site-specific slopes","moderate",10,"5","Initiate by tau",10,10,203.3,0.84008132371323,2.5877558657391,6.15205668520943,8.32464362397109,27.5212893741669,76.5203533754993,0.377248699016827,0.194137250603287,2.93338043596056,0.00141136281912981
"Federated: site-specific slopes","moderate",15,"1","Do not initiate by tau",15,10,260,0.540093366142713,0.661627176928814,0.853226442405557,0.974766408564862,1.24515061354255,255.586414242804,0.982928184652036,0.967594242119124,1.01745041136508,0
"Federated: site-specific slopes","moderate",15,"1","Initiate by tau",15,10,41.8,4.63843145312445,21.0154145056847,43.2516168198477,26.0212539076873,120.404510668201,12.137205045542,0.295859388247294,0.132743626061145,4.06723378121407,0.118807810546941
"Federated: site-specific slopes","moderate",15,"2","Do not initiate by tau",15,10,231.9,0.604795059897096,0.88377325630746,1.41078406241174,2.23648374084989,4.1126829195958,210.917059586769,0.90929446626686,0.832773007718252,1.10272880264236,0
"Federated: site-specific slopes","moderate",15,"2","Initiate by tau",15,10,80.2,2.51635873470994,9.15330450875124,35.2546524717372,27.1473225374018,149.544225412902,20.5325002924177,0.25657687595381,0.100313950318007,5.18694519665968,0.0393605497691302
"Federated: site-specific slopes","moderate",15,"3","Do not initiate by tau",15,10,184.2,0.675191009390489,1.1450443518398,1.95461227091043,2.70642445645048,4.35161357308751,157.058327961826,0.853262338193099,0.790752249128086,1.17529670618848,0
"Federated: site-specific slopes","moderate",15,"3","Initiate by tau",15,10,115.3,1.56948405000338,5.59791148555176,14.819568311569,14.8129789588798,35.4821629538664,36.5810876502242,0.318760808031827,0.189737914749252,3.37445262275438,0.0163937350421067
"Federated: site-specific slopes","moderate",15,"4","Do not initiate by tau",15,10,126.3,0.804769316101364,1.66452614138448,3.43775607954509,3.26739908936595,10.6495924821767,89.8805186966088,0.715278604704032,0.459976443660763,1.46739141351619,0.000746268656716418
"Federated: site-specific slopes","moderate",15,"4","Initiate by tau",15,10,141.7,1.2113468596519,3.77655240380077,12.0683506208003,9.89282607140522,33.852746062025,44.9303347769492,0.314322061813224,0.144643049256673,3.79388826102438,0.00805755175931264
"Federated: site-specific slopes","moderate",15,"5","Do not initiate by tau",15,10,82.5,0.990404678928963,2.40374961913243,6.16417179873083,5.24350066774867,13.0930503355586,49.979873465845,0.595958325954499,0.35371634720498,1.81083353698324,0.00251582278481013
"Federated: site-specific slopes","moderate",15,"5","Initiate by tau",15,10,151.1,0.931602429986994,2.82626945514224,7.35305901927453,9.60995249878013,34.7064293672944,55.2933626561586,0.364451877144473,0.189702515520522,3.21116017384207,0.00340350892689293
"Federated: site-specific slopes","high",5,"1","Do not initiate by tau",5,10,344.1,0.486146829085122,0.505411532451576,0.536091297147392,0.573918199445712,0.672397423282667,343.881723093127,0.99936953695973,0.998626377528448,1.00063104650243,0
"Federated: site-specific slopes","high",5,"1","Initiate by tau",5,10,5.9,21.0069020127392,70.8347896656615,70.8347896656615,57.0472628186871,170.543700235692,2.59620178976472,0.510512057895542,0.249922006166584,2.32370167604904,0.463253968253968
"Federated: site-specific slopes","high",5,"2","Do not initiate by tau",5,10,423,0.513999773237049,0.594056806674769,0.711486937006037,0.971043482652783,1.31753520346861,419.231484784553,0.991059211532058,0.98775946041181,1.00902690335278,0
"Federated: site-specific slopes","high",5,"2","Initiate by tau",5,10,35.5,6.74125864739637,29.3185391530986,58.4705787053582,41.2135340773542,147.735007639199,10.5397559480266,0.297119481213971,0.127864456795413,3.97416700584921,0.177344463558912
"Federated: site-specific slopes","high",5,"3","Do not initiate by tau",5,10,374.4,0.605433129619989,0.912134948907374,1.5986525483495,2.67245131946858,4.78528348590777,331.344813474038,0.884221919178759,0.801802485970225,1.13523531564212,0
"Federated: site-specific slopes","high",5,"3","Initiate by tau",5,10,119,2.31134515706912,8.93948850791195,26.4271070604354,20.4492553093185,69.398803132777,33.2139523767873,0.279135642213774,0.139216084804559,4.2734692212299,0.0380974774208934
"Federated: site-specific slopes","high",5,"4","Do not initiate by tau",5,10,262.4,0.873419794672288,1.86569625335557,4.74767987819025,7.02422198968903,21.1286006737175,156.632871610365,0.595105098374763,0.371701997406943,1.80485809237148,8e-04
"Federated: site-specific slopes","high",5,"4","Initiate by tau",5,10,305.9,1.11345901683167,3.34050202504998,9.68697767592173,20.6250543496275,50.2090878572555,80.7852270491083,0.2624684812564,0.149101092302824,4.18995637639442,0.00887895886264258
"Federated: site-specific slopes","high",5,"5","Do not initiate by tau",5,10,152.2,1.44044818901456,3.72483898416036,15.6369994394667,25.7597032506354,46.5473278278113,45.4515174277758,0.297046992052209,0.136815418445682,4.43954540837637,0.0112126697873584
"Federated: site-specific slopes","high",5,"5","Initiate by tau",5,10,507.6,0.705958578084008,1.78678680850833,4.04979365747519,8.83177025944651,24.6108744275467,228.599735750077,0.449391577369209,0.275567796932632,2.3749535781085,0.000604439606109741
"Federated: site-specific slopes","high",10,"1","Do not initiate by tau",10,10,306.1,0.419427962942521,0.441397551394606,0.469387529565328,0.496610199966861,0.626964471105652,305.821998782921,0.999093401108874,0.998078981118986,1.00090774459043,0
"Federated: site-specific slopes","high",10,"1","Initiate by tau",10,10,8.9,30.8334400861488,170.51131090526,170.51131090526,49.7386226799213,716.335267200589,3.07777587196131,0.333138935239695,0.175048370172839,3.43566969290631,0.292435064935065
