"model","heterogeneity","tau","site","interval","replicates","mean_eligible_n","mean_observed_rate","mean_numerator_hazard","mean_denominator","mean_den_q01","mean_den_q99","mean_observed_prob_q01","min_observed_prob","mean_prop_observed_prob_lt_001","mean_prop_observed_prob_lt_005"
"Pooled site FE: shared slopes","low",10,"2",10,10,300.2,0.0267990402146251,0.0302086942841212,0.0251386805004066,0.000508463785373015,0.183728707586078,0.0516198955923781,0.00115369158771798,0.00233176631680351,0.0125092087284456
"Pooled site FE: shared slopes","low",10,"3",1,10,1000,0.0837,0.08312,0.0795792013111136,0.00264370653848945,0.460706188175658,0.0381070831744439,0.0068884727252599,6e-04,0.0142
"Pooled site FE: shared slopes","low",10,"3",2,10,818.8,0.0753298838841936,0.0781703404094691,0.0765809402712719,0.00150509997732903,0.485956037727375,0.046318589206389,0.0046237968813586,0.000731703281045282,0.0117622744360192
"Pooled site FE: shared slopes","low",10,"3",3,10,668.9,0.0695704444725395,0.068093576400369,0.0681549440061412,0.00115759731593247,0.460050453402113,0.0365772750342397,0.00343047235222755,0.00151289136136946,0.0139263557799082
"Pooled site FE: shared slopes","low",10,"3",4,10,552.9,0.0531081620303795,0.0553961588343812,0.0551804442919467,0.000923761371409653,0.373328082234961,0.0423035762759068,0.00178078216687569,0.00164426249193813,0.0119066754653462
"Pooled site FE: shared slopes","low",10,"3",5,10,477.1,0.0484168223771694,0.0469735676750666,0.04757483794608,0.000862774188341523,0.335325440937509,0.0429773472228365,0.00311080342930371,0.00124857131523575,0.0131774039334934
"Pooled site FE: shared slopes","low",10,"3",6,10,415.4,0.0404926148570942,0.0432533852209127,0.0430757570872439,0.000800309404914592,0.300700170885345,0.0484253868860672,0.00362066995512599,0.00119422586212781,0.0100926805340328
"Pooled site FE: shared slopes","low",10,"3",7,10,370.1,0.0407096562973283,0.0378997811041398,0.0374740696306711,0.000627296162352645,0.241324660904223,0.0560155228434416,0.000617067013958948,0.00242072285852246,0.0102459358371033
"Pooled site FE: shared slopes","low",10,"3",8,10,331.5,0.029805738008208,0.0336835353507466,0.0327218730875444,0.000730451050872766,0.218272949835151,0.0915838897218661,0.00355456019416428,0.00184794759626947,0.0106204067735896
"Pooled site FE: shared slopes","low",10,"3",9,10,301.8,0.02437329139997,0.0288325049500883,0.0292747138436629,0.000609690309148529,0.210884961100162,0.0854303101229865,0.00245150754733254,0.00292147637540017,0.00894777011832803
