"model","heterogeneity","tau","site","strategy","interval","replicates","mean_risk_n","mean_weight","mean_q95","mean_q99","median_max","max_across_reps","mean_ess","mean_ess_fraction","p10_ess_fraction","mean_design_effect","mean_prop_weight_gt_10"
"Federated: site-specific slopes","high",15,"5","Initiate by tau",7,10,465.6,0.89719306374296,2.43685069563695,6.0027918815901,19.607175081165,40.8801095813391,139.113880332154,0.298636435093626,0.175587073712663,3.67971251598921,0.00389275720274751
"Federated: site-specific slopes","high",15,"5","Initiate by tau",8,10,395.5,0.879167570732133,2.3848894564506,5.9525117174177,9.33281591090864,48.1611430120419,145.407088971025,0.367877734327617,0.139903599660782,3.5096513219446,0.00253596285273533
"Federated: site-specific slopes","high",15,"5","Initiate by tau",9,10,343.7,0.918913893815935,2.46319294267481,6.81742535549775,9.68110685858597,62.9032412659043,114.390585015636,0.332737457458802,0.0688243797694183,5.24573190562494,0.00350251531870957
"Federated: site-specific slopes","high",15,"5","Initiate by tau",10,10,304,0.92924522668746,2.58154901951059,7.00283328627139,9.96880230088977,91.6195201360412,103.800661794928,0.34185740997476,0.077398198470305,5.11676038532134,0.00361405985082345
"Federated: site-specific slopes","high",15,"5","Initiate by tau",11,10,267.5,0.920091288088727,2.6251117368783,7.250929994663,11.2204844420783,51.308300990733,94.1233059842921,0.350564663457927,0.150036956714641,3.51062568270501,0.00381972850566794
"Federated: site-specific slopes","high",15,"5","Initiate by tau",12,10,241,0.909307500332657,2.71550543513956,6.6789221707244,10.0640987102288,46.9129839319786,84.1221487154091,0.348277059466362,0.149727932791588,3.49410635930969,0.00295660223107309
"Federated: site-specific slopes","high",15,"5","Initiate by tau",13,10,218.4,0.940246097822437,2.90918427545381,6.86089993487926,10.4704341413329,68.1058098019478,73.0125293750374,0.33428823061732,0.123292098850384,4.11939995413143,0.00323891224152321
"Federated: site-specific slopes","high",15,"5","Initiate by tau",14,10,200.4,0.962430462896522,3.00174549544032,7.15039370552601,9.98064370491601,93.3585170433955,69.093057971691,0.342182787760702,0.105019230572136,4.7039678410808,0.00359668733956468
"Federated: site-specific slopes","high",15,"5","Initiate by tau",15,10,150.3,0.847837829363425,2.71496765561026,7.24531435395624,8.74572802972395,20.5633185646615,52.722202541458,0.351114786020012,0.193505557907101,3.14606918436625,0.00265105561796135
"Federated: site-specific slopes","high",15,"Overall","Do not initiate by tau",1,1,3662,1.00276218594012,1.87062591232656,4.27382222644139,20.2138041715518,20.2138041715518,2154.51348309019,0.588343386971652,0.588343386971652,1.69968766904519,0.00136537411250683
"Federated: site-specific slopes","high",15,"Overall","Do not initiate by tau",2,1,2627,0.894988093446291,1.67375940005293,4.83490592157019,39.0066940033168,39.0066940033168,978.043252978493,0.37230424551903,0.37230424551903,2.6859752797229,0.00228397411496003
"Federated: site-specific slopes","high",15,"Overall","Do not initiate by tau",3,1,2108,0.86087896329961,1.51722850622104,4.54450679130214,79.2320275119417,79.2320275119417,305.264578718619,0.144812418746973,0.144812418746973,6.90548510033021,0.00284629981024668
