"model","heterogeneity","replicate","tau","site","strategy","interval","risk_n","weight_sum","weight_mean","weight_sd","weight_cv","weight_min","weight_q01","weight_q05","weight_q50","weight_q95","weight_q99","weight_max","prop_weight_gt_5","prop_weight_gt_10","prop_weight_gt_20","ess","ess_fraction","design_effect"
"Federated: site-specific slopes","moderate",1,5,"1","Initiate by tau",5,32,173.67712681357,5.42741021292405,6.19408882096319,1.14126048667069,0.619621582167047,0.619621582167047,0.692484095491593,2.47131808098847,20.4528163920615,21.3206536852983,21.3206536852983,0.34375,0.15625,0.09375,14.1481917203226,0.442130991260081,2.26177313910971
"Federated: site-specific slopes","moderate",1,5,"1","Do not initiate by tau",1,592,514.914613413179,0.869788198333072,0.0160392617786291,0.0184404224032563,0.858355718791515,0.858813288675147,0.859297599444559,0.864329358927653,0.899244188824298,0.942790985817046,1.02559469577467,0,0,0,591.799099136335,0.999660640432998,1.00033947477101
"Federated: site-specific slopes","moderate",1,5,"1","Do not initiate by tau",2,537,431.369163506201,0.803294531668904,0.0474477003797196,0.0590663803986609,0.773230423017284,0.774200005230017,0.775498470019577,0.788473955741175,0.887078561991274,0.996148000313858,1.3920064404186,0,0,0,535.136472647305,0.996529744222169,1.00348234038969
"Federated: site-specific slopes","moderate",1,5,"1","Do not initiate by tau",3,491,365.808228200372,0.745026941344953,0.0425098693582185,0.0570581639389818,0.712075164849017,0.713153010360619,0.714726744496759,0.730375068834499,0.837322028384839,0.93653861427708,1.02834468060537,0,0,0,489.409905527109,0.996761518385151,1.0032490034528
"Federated: site-specific slopes","moderate",1,5,"1","Do not initiate by tau",4,454,322.21421093354,0.709722931571674,0.0497799705066099,0.0701400057574196,0.669656753281722,0.67092188749209,0.673042436383286,0.691448557787167,0.825032612082095,0.918949091865199,1.05000354201002,0,0,0,451.7822981751,0.995115194218282,1.00490878423935
"Federated: site-specific slopes","moderate",1,5,"1","Do not initiate by tau",5,433,292.206178106683,0.674841057983101,0.0498140383191023,0.0738159567053932,0.634026418419765,0.63501167205694,0.637442948475981,0.65686213452295,0.784273636273442,0.895265501133118,0.963165499327843,0,0,0,430.65884736064,0.994593180971456,1.00543621164109
"Federated: site-specific slopes","moderate",1,5,"2","Initiate by tau",1,800,824.593967370177,1.03074245921272,1.05708951696357,1.02556124230196,0.201160476148108,0.594061087502577,0.860425480451336,0.883128922198424,1.17757793266172,5.9894229596333,22.6009197432574,0.01125,0.0025,0.00125,390.156137884492,0.487695172355616,2.0504611418848
"Federated: site-specific slopes","moderate",1,5,"2","Initiate by tau",2,722,720.711342452413,0.998215155751266,1.14042373827811,1.14246285653699,0.201160476148108,0.486764704181429,0.774962465506648,0.808063697480883,1.55910912287649,6.18335386064963,22.6009197432574,0.0124653739612188,0.00277008310249307,0.00138504155124654,313.447833372484,0.434138273369092,2.30341359272378
"Federated: site-specific slopes","moderate",1,5,"2","Initiate by tau",3,653,635.119322161123,0.972617644963435,1.21528515477731,1.24949939071176,0.201160476148108,0.288259168038137,0.588929120150784,0.754425947168844,1.69828146636531,6.37002332770534,22.6009197432574,0.0137825421133231,0.00306278713629403,0.00153139356814701,255.191980384391,0.390799357403355,2.55885784112964
"Federated: site-specific slopes","moderate",1,5,"2","Initiate by tau",4,591,595.312658096366,1.00729722182126,1.37684933836905,1.3668749486667,0.207436877849996,0.393190856680295,0.668704430851969,0.719291731245119,2.31510013956454,6.66635142030266,22.6009197432574,0.0169204737732657,0.0050761421319797,0.00169204737732657,206.26934607636,0.34901750605137,2.8651857934393
"Federated: site-specific slopes","moderate",1,5,"2","Initiate by tau",5,96,217.403712997831,2.26462201039408,3.16044216358697,1.39557160050608,0.150674195391937,0.157429049723855,0.289667382009441,1.09450424258932,7.26502254997161,19.5896255786462,22.6009197432574,0.114583333333333,0.03125,0.0104166666666667,32.794362731938,0.341607945124354,2.927332382846
