"method","estimand","tau","beta_trt","practice_heterogeneity","t_star","site_sizes","init_intercepts","mean_est","truth","rmse","bias","emp_sd","coverage","n_reps"
"Federated landmark IPW","RD",10,-1,"low",25,"1000/1000/1000","-3.25/-3/-2.75",-0.233668919499287,-0.0950230596921594,0.144304031680091,-0.138645859807127,0.0402138113551584,NA,100
"Federated landmark IPW","RD",15,-1,"low",25,"1000/1000/1000","-3.25/-3/-2.75",-0.18200186765788,-0.0803837983595551,0.108530128386623,-0.101618069298325,0.0383044259870785,NA,100
"Federated landmark IPW","RD",5,-0.7,"low",25,"1000/1000/1000","-3.25/-3/-2.75",-0.177100308243472,-0.0820864549176094,0.113583129134162,-0.0950138533258624,0.062550948123838,NA,100
"Federated landmark IPW","RD",10,-0.7,"low",25,"1000/1000/1000","-3.25/-3/-2.75",-0.168178272960582,-0.0647974327551505,0.112007172430838,-0.103380840205431,0.0433217764818818,NA,100
"Federated landmark IPW","RD",15,-0.7,"low",25,"1000/1000/1000","-3.25/-3/-2.75",-0.135785097784067,-0.0540089516710813,0.0916460315657542,-0.0817761461129852,0.0415806023717171,NA,100
"Federated landmark IPW","RD",5,-0.5,"low",25,"1000/1000/1000","-3.25/-3/-2.75",-0.12399943885467,-0.056633481800703,0.0839147578219545,-0.0673659570539665,0.0502871995130879,NA,100
"Federated landmark IPW","RD",10,-0.5,"low",25,"1000/1000/1000","-3.25/-3/-2.75",-0.12743338651507,-0.0454307335797954,0.0970283610784788,-0.0820026529352749,0.0521271538338773,NA,100
"Federated landmark IPW","RD",15,-0.5,"low",25,"1000/1000/1000","-3.25/-3/-2.75",-0.103004550875109,-0.0392434111994597,0.0774030685951201,-0.0637611396756494,0.0441044684421986,NA,100
"Federated landmark IPW","RD",5,-1,"moderate",25,"1000/1000/1000","-3.75/-3/-2.25",-0.244786410278619,-0.121345311474259,0.135864915578877,-0.123441098804361,0.0570448203300917,NA,100
"Federated landmark IPW","RD",10,-1,"moderate",25,"1000/1000/1000","-3.75/-3/-2.25",-0.227957121207668,-0.0952227348391839,0.138869853490172,-0.132734386368484,0.041027446883048,NA,100
